boundary-coarse	segment-coarse	boundary-fine	segment-fine	sentence
0	1	0	1	Paris, the cosmopolitan capital of France, is one of the largest agglomerations in Europe, with 2.2 million people living in the dense (105 km2) central city in 2022, 10 million people in the Métropole du Grand Paris (814 km2) and almost 13 million people living in the metropolitan area.
0	1	0	1	In the centre-north of the country on the river Seine, Paris has the reputation of being the most beautiful and romantic of all cities, brimming with historic associations and remaining vastly influential in the realms of culture, art, fashion, food and design.
0	1	0	1	Dubbed the City of Light (la Ville lumière) and Capital of Fashion, it is home to some of the world's finest and most luxurious fashion designers and cosmetics, such as Chanel, Christian Dior, Yves Saint-Laurent, Guerlain, Lancôme, L'Oréal, and Clarins.
0	1	0	1	A large part of the city, including the banks of the Seine, is a UNESCO World Heritage Site.
1	1	1	1	The city has the second highest number of Michelin-starred restaurants in the world (after Tokyo, which is much larger) and contains numerous iconic landmarks such as the Eiffel Tower, the Arc de Triomphe, Notre-Dame de Paris, the Louvre, the Moulin Rouge and the Basilique du Sacré-Cœur, making it one of the most popular international tourist destinations in the world, with around 14 million tourists annually.
0	2	0	2	The city of Paris is divided into 20 districts called arrondissements, numbered from 1 to 20 in a clockwise spiral from the centre of the city (which is known as Kilomètre zéro and is located at the front of Notre Dame).
0	2	0	2	Arrondissements are named according to their number.
0	2	0	2	"You might, for example, stay in the ""5th"", which would be written as 5e in French."
0	2	1	2	The 12th and 16th arrondissements include large parks: the Bois de Vincennes and the Bois de Boulogne respectively.
0	2	0	3	"The very best map you can get for Paris is called ""Paris Pratique par Arrondissement"" which you can buy for about €5 at any news stand."
0	2	0	3	It makes navigating the city easy.
0	2	0	3	The various tourist information centres and hotels in Paris also provide various city and metro maps for free and which contain all the essential details for a tourist.
0	2	0	3	Each arrondissement has its own unique character and selection of attractions for the traveller:
0	2	0	3	Beyond Paris, the outlying suburbs are called La Banlieue.
0	2	0	3	Schematically, those to the west of Paris (Neuilly-sur-Seine, Boulogne-Billancourt, Saint Cloud, Levallois, Versailles, Poissy, Rueil-Malmaison) are wealthy residential communities, even if some more middle class suburbs can be found.
0	2	0	3	Those to the north are poorer communities, and very ethnically diverse.
1	2	0	3	Those to the south are a mix of rough and poor neighbourhoods alongside very affluent communities.
0	3	0	3	Finally, those to the east are usually lower-middle class mingled with a few upper-middle class communities.
0	3	0	3	Due to high expectations, a tight schedule, language barriers and large crowds and long lines at certain attractions during high season, the city might disappoint some visitors.
0	3	0	3	Foreign visitors who have an idealized view of Paris might be shocked by the typical challenges of visiting any large city; crime, traffic noise, pollution, garbage, and relatively high costs.
0	3	0	3	In the worst case, visitors might experience the Paris syndrome; a psychological state of delusion.
0	3	0	3	To enjoy the wonders of Paris, make realistic plans.
0	3	0	3	The amounts of attractions and landmarks is overwhelming; visiting only the most famous ones (which can be overcrowded during major holidays) takes more than a week.
0	3	0	3	The city also has more to offer for people who take time for a calm stroll along the backstreets.
0	3	0	3	If your time in the city is short, be selective, and save some attractions for your next visit.
0	3	0	3	Paris started life as the Celto-Roman settlement of Lutetia on the Île de la Cité, the island in the Seine now occupied by the Cathédrale de Notre Dame.
1	3	0	3	It takes its present name from the name of the dominant Gallo-Celtic tribe in the region, the Parisii.
0	4	0	3	"At least that's what the Romans called them, when they showed up in 52 BCE and established their city Lutetia on the left bank of the Seine, in what is now called the ""Latin Quarter"" in the 5th arrondissement."
0	4	0	3	The Romans held out here for as long as anywhere else in the Western Empire, but by 508 CE they were gone, replaced by Clovis of the Franks, who is considered by the French to have been their first king.
0	4	0	3	Clovis' descendants, aka the Carolingians, held onto the expanded Lutetian state for nearly 500 years through Viking raids and other calamities, which finally resulted in a forced move by most of the population back to the islands which had been the centre of the original Celtic village.
0	4	0	3	The Capetian Duke of Paris was voted to succeed the last of the Carolingians as King of France, ensuring the city a premier position in the medieval world.
0	4	0	3	Over the next several centuries Paris expanded onto the right bank into what was and is still called le Marais (The Marsh).
0	4	0	3	Quite a few buildings from this time can be seen in the 4th arrondissement.
0	4	0	3	The medieval period also witnessed the founding of the Sorbonne.
0	4	0	3	"As the ""University of Paris"", it became one of the most important centres for learning in Europe—if not the whole world, for several hundred years."
0	4	0	3	Most of the institutions that still constitute the University are found in the 5th, and 13th arrondissements.
0	4	0	3	In the late 18th century, there was a period of political and social upheaval in France and Europe, during which the French governmental structure, previously a monarchy with feudal privileges for the aristocracy and Catholic clergy, underwent radical change to forms based on Enlightenment principles of nationalism, citizenship, and inalienable rights.
0	4	0	3	Notable events during and following the revolution were the storming of the Bastille 4th arrondissements, and the rise and fall of Napoleonic France.
0	4	0	3	Out of the violent turmoil that was the French Revolution, sparked by the still known Passion des Français, emerged the enlightened modern day France.
0	4	0	3	The Paris of today was built long after the Capetian and later the Bourbon Kings of France made their mark on Paris with the Louvre and the Palais Royal, both in the 1st.
0	4	0	3	In the 19th century, Baron von Hausmann set about reconstructing the city, by adding the long straight avenues and replacing many of the then existing medieval houses, with grander and more uniform buildings.
0	4	0	3	New wonders arrived during La Belle Époque, as the Parisian golden age of the late 19th century is known.
1	4	1	3	"Gustave Eiffel's famous tower, the first metro lines, most of the parks, and the streetlights (which are partly believed to have given the city its epithet ""the city of light"") all come from this period."
0	5	0	4	Another source of the epithet comes from Ville Lumière, a reference not only to the revolutionary electrical lighting system implemented in the streets of Paris, but also to the prominence and aura of Enlightenment the city gained in that era.
0	5	0	4	The twentieth century was hard on Paris, but thankfully not as hard as it could have been.
1	5	0	4	Both world wars took a heavy toll on the city's inhabitants, but at least Hitler's order to burn the city was ignored by the German General von Choltitz, who was quite possibly convinced by a Swedish diplomat that it would be better to surrender and be remembered as the saviour of Paris, rather than its destroyer.
0	6	0	4	Following the war, the city recovered quickly at first, but slowed in the 1970s and 1980s when Paris began to experience some of the problems faced by big cities everywhere: pollution, housing shortages, and occasionally failed experiments in urban renewal.
0	6	0	4	However, post-war Paris enjoyed considerable growth as a multi-cultural city, with new immigrants from all corners of the world, especially La Francophonie, including most of northern and western Africa as well as Indochina.
0	6	0	4	These immigrants brought their foods and music, both of which are of prime interest for many travellers.
0	6	0	4	Immigration and multi-culturalism continues in the 21st century with a marked increase in the arrival of people from Latin America, especially Mexico, Colombia, and Brazil.
0	6	0	4	In the late 1990s, it was hard to find good Mexican food in Paris, whereas today there are dozens of possibilities from lowly taquerias in the outer arrondissements to nice sit-down restaurants on the boulevards.
0	6	0	4	Nevertheless, Paris remains a French city; bistros, baguettes, high-end fashion, art, accordions, Hausmann architecture, and all the stereotypes (whether good or bad) of France are alive and well in Paris.
0	6	1	4	People from all over France flock to Paris for work, study, partying, and everything in between.
0	6	0	5	After all, this IS the capital of France, so anything pertaining to France can be found here.
1	6	0	5	The 21st century has also seen vast improvements in the general livability of Paris, with the mayor's office concentrating on reducing pollution and improving facilities for soft forms of transportation including a huge network of cycle paths, larger pedestrian districts and new metro lines.
0	7	0	5	Visitors who normally arrive car-less are the beneficiaries of these policies as much as the Parisians themselves, although tensions and doubts have emerged over the actual benefits of those measures.
0	7	0	5	Paris has an oceanic climate with moderately cold winters and warm summers.
0	7	0	5	The moderating effect of the Atlantic Ocean helps to temper temperature extremes in much of western Europe, including France.
0	7	0	5	Even in January, the coldest month, temperatures nearly always exceed the freezing point with an average high of 7 °C (45 °F).
0	7	0	5	Snow is not common in Paris, although it can fall a few times per year.
0	7	1	5	Most of Paris' precipitation comes in the form of light rain year-round.
0	7	0	6	Daylight hours run from 08:45 until 16:45.
0	7	0	6	Summers in Paris are moderately warm and humid, with an average high of 25 °C (77 °F) during the mid-summer months.
0	7	0	6	Occasional heat waves can push temperatures above 30 °C (86 °F) and rarely even reach 35 °C (95 °F).
0	7	0	6	The sun is up from 06:00 until almost 22:00.
0	7	0	6	Spring and fall are normally cool and wet.
0	7	0	6	Paris (PAR IATA) is served by two international airports.
0	7	0	6	49.00982.56121 Paris Charles de Gaulle Airport (CDG IATA) is the main airport of the city.
1	7	1	6	It is north of Paris and is connected by train, bus and taxi.
0	8	0	7	For detailed information on arriving and departing Paris from this airport please consult the main article linked above.
0	8	0	7	"Transit Summary: The RER train line ""B"" connects CDG airport to central Paris and is the fastest and most economical option for most travellers."
0	8	0	7	Signs in the airport will direct you to the platform.
0	8	0	7	Self-serve electronic kiosks sell tickets.
0	8	0	7	The kiosks provide service in multiple languages, including English.
0	8	0	7	Some trains will stop at each station along the way to Paris.
0	8	0	7	Express trains with fewer stops are available during off-peak hours.
0	8	0	7	The stations Gare du Nord, Châtelet-Les Halles, Saint-Michel Notre-Dame, Luxembourg, Port-Royal, Denfert-Rochereau and Cité Universitaire are always served.
0	8	1	7	Your ticket will allow you to transfer at one of the aforementioned stations to the Metro and other RER lines within Paris to complete your journey.
0	8	0	8	The one-way trip costs €10.30 for adults, €7.20 for children aged 4–9, and free for children under 4.
1	8	0	8	Another option is the RoissyBus coach service that departs from all terminals and travels non-stop to Opéra (actually stops at 11 rue scribe, next to Place Charles Garnier, and not on Place de l'Opéra itself) in Central Paris, within easy walking distance of several stations: Opéra for Métro Lines 3, 7, 8; Auber for RER Line A; Chaussée d'Antin or Havre-Caumartin for Métro Line 9.
0	9	0	8	It offers great value if you're travelling with lots of luggage; as of December 2023, a one-way ticket is €16.20.
0	9	0	8	The buses are frequent, departing every 15 min during the day and every 20-30 min in the evening.
0	9	0	8	Journey time is typically 60 minutes, but can take longer in heavy traffic.
