boundary-coarse	segment-coarse	boundary-fine	segment-fine	sentence
0	1	0	1	Cairo (pronounced KY-roh; Arabic: القاهرة al-Qāhirah) is the capital of Egypt and, with a total population of Greater Cairo metropolitan area in excess of 16 million people, one of the largest cities in both Africa and the Middle East (the regions which it conveniently straddles).
1	1	1	1	It is also the 19th largest city in the world, and among the world's most densely populated cities.
0	2	0	2	On the Nile river, Cairo is famous for its own history, preserved in the fabulous medieval Islamic city and Coptic sites in Old Cairo — with historic Cairo inscribed on the UNESCO World Heritage list.
0	2	0	2	The Egyptian Museum in the city centre is a must see, with its countless Ancient Egyptian artefacts, as is shopping at the Khan al-Khalili bazaar.
0	2	0	2	No trip to Cairo would be complete without a visit to the Giza Pyramids and to the nearby Saqqara Pyramid Complex, where visitors will see Egypt's first step pyramid built by the architect Imhotep for the third dynasty pharaoh Djoser.
0	2	0	2	Though firmly attached to the past, Cairo is also home to a vibrant modern society.
0	2	0	2	"The Midan Tahrir area situated in downtown Cairo, built in the 19th century under the rule of Khedive Ismail, has strived to be a ""Paris on the Nile""."
0	2	0	2	There also are a number of more modern suburbs including Ma'adi and Heliopolis, while Zamalek is a quiet area on Gezira Island, with upmarket shopping.
0	2	0	2	Cairo is best in the fall or spring, when the weather isn't so hot.
1	2	1	2	A felucca ride on the Nile is a good way to escape from the busy city, as is a visit to Al-Azhar Park.
0	3	0	3	Since the revolution in 2011 and the counter-revolution, tourists fled Cairo to a large extent.
1	3	1	3	But by the end of the 2010s, they were returning, however tourism had not recovered fully, so you have an opportunity to see sites like the pyramids with smaller crowds.
0	4	0	4	Greater Cairo is vast; with more than 20 million people (2018), it's the largest metropolitan area in Africa and the Middle East.
0	4	0	4	Cairo is on the Nile, and has ancient origins in the vicinity of the Pharaonic city of Memphis.
0	4	0	4	"The city started to take its present form in 641 CE, when the Arab general Amr Ibn Al-Ase conquered Egypt for Islam and founded a new capital called Misr Al-Fustat, ""the City of the Tents""."
0	4	0	4	The legend is that Al-Ase, on the day he was leaving to conquer Alexandria, found two doves nesting in his tent.
0	4	0	4	Not wanting to disturb them, he left the tent.
0	4	0	4	Upon returning victorious, he called his soldiers to pitch their tents around his, and this became the site of the new city in what is now Old Cairo.
0	4	0	4	The name may have been a pun – Misr/Masr is the Arabic word for city, but it is also the Arabic name of the entire country of Egypt.
0	4	0	4	"The Tunisian Fatimid dynasty captured the city in 969 CE and founded a new city, Al-Qahira (""The Victorious"") just north of Al-Fustat."
1	4	1	4	Al-Qahira gave the city its English name, Cairo, but the locals still call it MàSr (مصر), which is also the Arabic name of the entire country of Egypt (similar to Mexico City in Mexico).
0	5	0	5	The best time to visit Cairo is during the winter from November to March, when daytime highs mostly stay below 26°C (79°F), with night time lows around 10°C (50°F) with occasional rain showers clearing the air, but still, you do not need an umbrella, even the rainiest months of the year rarely top 10 mm (0.4 in).
0	5	0	5	If visiting during winter, be aware that not all buildings are equipped with heaters, including some hotels and hostels.
0	5	0	5	Visitors should always pack a few warm jumpers (sweaters) and a warm jacket for evening wear.
0	5	0	5	In Cairo, in indoor buildings without air-conditioning, temperatures are about 15°C (59°F) in the coldest winter days and about 34°C (93°F) in the hottest summer days.
0	5	0	5	The brief spring from March to May can be pleasant as long as there are no sand storms, but summer temperatures, on the other hand, can reach a searing 38°C (100°F).
1	5	1	5	In September and October, the period of late summer and early autumn, farmers burn rice husks to ash after sunset near Greater Cairo and this makes the air smokey.
0	6	0	6	Today's Greater Cairo is a city with at least 20 million inhabitants (2018), where skyscrapers and fast food restaurants nestle up to world heritage monuments.
0	6	0	6	Cairo used to be the designated name of the city on the eastern bank of the Nile, and this is where you'll find both the modern Downtown, built under influence of French architecture, today the centre of commerce and popular life, as well as historical Islamic and Coptic sights.
0	6	0	6	Outside the core on the eastern bank, you'll find the modern, more affluent suburbs of Heliopolis and Nasr City near the airport, and Ma'adi to the south.
0	6	0	6	In the middle of the Nile is the island of Gezira and Zamalek, where many embassies exist.
0	6	0	6	On the western bank is lots of modern concrete and business, but also the great Giza pyramids and, further to the south, Memphis and Saqqara.
1	6	1	6	The city might seem like a lot to handle, but give it a try, and you will find that it has a lot to offer for any traveller.
0	7	0	7	Cairo airport has frequent flights from other Egyptian cities, the Gulf states and Levant, and usually daily flights from the European and North African capitals.
0	7	0	7	There are direct flights from Bangkok, Beijing, Guangzhou, Hangzhou, Hong Kong, Mumbai, New York, and Washington but travel from the Far East or North America will usually involve a change.
0	7	0	7	The main operator is EgyptAir (the national carrier) and its Star Alliance partners Aegean, Austrian Airlines, Ethiopian Airlines, Lufthansa[dead link], Swiss, Turkish Airlines.
0	7	0	7	SkyTeam is represented by Air France, Aeroflot, ITA Airways, KLM, Middle East Airlines, Saudia, and TAROM.
0	7	0	7	Oneworld by British Airways, Iberia, Qatar Airways[dead link], and Royal Jordanian.
0	7	0	7	Gulf Carriers include Emirates, Etihad, Middle East Airlines, Oman Air[dead link], and Qatar Airways[dead link], Royal Jordanian, and Saudia.
1	7	1	7	The second largest carrier is NileAir, significantly cheaper than Egyptair, flying from the Gulf countries, and a few destinations in Europe (Germany, Italy, ...).
0	8	0	8	There are also budget carriers Air Arabia, Air Cairo [dead link], flyEgypt and flynas.
0	8	0	8	The airport has three terminals.
0	8	0	8	EgyptAir and all Star Alliance members (Lufthansa Group, Singapore Airlines, LOT, etc.) operate all flights to Terminal 3, which is integrated with Terminal 2 (British Airways, Air France, and some others) through an air bridge.
0	8	0	8	Most other airlines arrive at Terminal 1, like Saudia (Terminal 1 Hall 2), and Sky Team, Oneworld, Emirates, and Etihad (Terminal 1 Hall 1).
0	8	0	8	All terminals offer a reasonable variety of duty-free shops and restaurants.
0	8	0	8	In Terminal 1 there are some duty-free shops opposite the gates, with more shops on the first floor.
0	8	0	8	The lounges, a pub, McDonald's and coffee shops such as Starbucks are on the second floor.
0	8	0	8	Terminal 3 has a central market place and food court, plus some shops and cafes along the concourses.
0	8	0	8	There's not much open seating, as most seating is in the gate lounges which only open an hour before departure.
