boundary-coarse	segment-coarse	boundary-fine	segment-fine	sentence
0	1	0	1	Mexico City (Spanish: México, Ciudad de México or CDMX) is Mexico's capital.
0	1	0	1	The city center is built on the ruins of the Aztec capital Tenochtitlan, and later came to be the capital of New Spain, which included much of North America.
0	1	1	1	The city has grown fast in the 20th century, and is today North America's largest city (and the world's largest Spanish-speaking city) with 8.9 million inhabitants in the city proper, and more than 20 million in the urban area.
0	1	0	2	The city is administratively divided into 16 delegaciones (boroughs) which are in turn subdivided into colonias (neighborhoods), of which there are around 2150; however, it is better to think of the city in terms of districts to facilitate the visitor getting around.
0	1	1	2	Many older towns like Coyoacán, San Angel and Tlalpan got merged into the urban sprawl, and each of these still manages to preserve some of their original and unique characteristics.
0	1	0	3	Other areas of Mexico City include:
0	1	0	3	The greater Mexico City metropolitan area is one of the world's largest and the largest city in North America, with a 20.1 million people living in the metropolitan area as of the 2010 census.
0	1	0	3	It is situated in the Valley of Mexico and shaped roughly like an oval of about 60 km by 40 km with large parts of it built on the dry bed of Lake Texcoco, and surrounded on three sides by tall mountains and volcanoes such as the Ajusco, the Popocatepetl and the Iztaccihuatl.
0	1	0	3	"Mexico City proper (with an estimated population of between 8 and 9 million) is the country's capital, and since 2016 has been a ""federal entity"" with the same powers as the states of Mexico, though still separate from the states."
0	1	1	3	Confusingly, the rest of the metropolitan area extends beyond Mexico City into the State of Mexico, which surrounds Mexico City on the West, North and East, and Hidalgo further North.
0	1	0	4	Legally and practically speaking, Mexico City refers to the city proper and is the area where tourists will spend all or most of their time.
0	1	0	4	Mexico City is divided up into 16 boroughs similar to those in New York, which in turn are divided into colonias (neighborhoods), of which there are about 2150.
0	1	0	4	Knowing what colonia you're going to is essential to getting around, and almost all locals will know where the main colonias are (there are some colonias with duplicate or very similar names).
0	1	1	4	As with many very large cities, the structure is relatively decentralized, with several parts of the city having their own miniature downtown areas.
0	1	0	5	However, the real downtown areas are Centro, the old city center, and Zona Rosa, the new business and entertainment district.
0	1	0	5	The city center is 2230 m above mean sea level, while some areas reach up to 3000 m.
0	1	0	5	Some people have breathing difficulties at high places and have experienced difficulty when breathing.
0	1	0	5	The altitude is equivalent to more than 7,200 ft.
0	1	1	5	This is far higher than any metropolitan area in the United States.
0	1	0	6	If you live closer to sea level, you may experience difficulty breathing due to altitude and pollution.
0	1	0	6	Air quality has, however, been improved in the last few years.
0	1	0	6	Mexico
0	1	1	6	City's night life is like all other aspects of the city; it is huge.
0	1	0	7	There is an enormous selection of venues: clubs, bars, restaurants, cafes, and variations and combinations thereof to choose from.
0	1	0	7	There is incredible variation, from ultramodern lounges in Santa Fe and Reforma, to centuries-old dance halls in Centro and Roma.
0	1	0	7	There are also pubs in Tlalpan and Coyoacán and clubs of every stripe in Insurgentes, Polanco, Condesa and the Zona Rosa.
0	1	0	7	Also, when going out, check the date, since this is an important indicator of how full places will generally be and how long you might have to wait to get in.
0	1	1	7	Salaries are usually paid twice per month: the 30th/31st-1st and the 14th-15th.
0	1	0	8	On or soon after these dates is when most Mexicans will go out, especially if payday coincides with a weekend.
0	1	0	8	In the more expensive places, people might leave for Acapulco or vacations farther afield during the summer and long weekends.
0	1	0	8	Mexican weekends, in the sense of when it is common to go out drinking, are Thursday night to Sunday morning and sometimes throughout Sunday.
0	1	0	8	The origins of Mexico City date back to 1325, when the Aztec capital city of Tenochtitlan was founded and later destroyed in 1521 by Spanish conqueror Hernan Cortes.
0	1	1	8	The city served as the capital of the Vice-royalty of New Spain until the outbreak of the Independence War in 1810.
0	1	0	9	The city became the capital of the Mexican Empire in 1821 and of the Mexican Republic in 1823 after the abdication of Agustin de Iturbide.
0	1	0	9	During the Mexico-US war in 1847, the city was invaded by the American army.
0	1	0	9	In 1864 the French invaded Mexico and the emperor Ferdinand Maximilian of Habsburg ruled the country from the Castillo de Chapultepec and ordered to build Avenue of the Empress (today's Paseo de la Reforma promenade).
0	1	0	9	Porfirio Díaz assumed power in 1876 and left an outstanding mark in the city with many European styled buildings such as the Palacio de Bellas Artes and the Palacio Postal.
0	1	0	9	Diaz was overthrown in 1910 with the Mexican Revolution and this marked a radical change in the city's architecture.
0	1	0	9	The 20th century saw the uncontrolled growth of the city beyond the Centro Historico with the influx of millions of migrants from the rest of the country.
0	1	1	9	In 1968, the city was host to the Olympic Games, which saw the construction of the Azteca Stadium, the Palacio de los Deportes, the Olympic Stadium and other sports facilities.
0	1	0	10	In 1985 the city suffered an 8.1 Magnitude earthquake.
