boundary-coarse	segment-coarse	boundary-fine	segment-fine	sentence
1	1	1	1	Hi.
0	1	0	1	My lovely has provided me with some new plants, which I am grabbing now, and I'm going to set them up in my little garden, and tomorrow I'll be replanting them. :)
0	1	0	1	I've already been growing it for...maybe a couple of months now; maybe five, six months, which is some tomatoes.
0	1	0	1	And now, I'm adding some new ones to it.
1	2	1	2	So, here's the very cute basket I've been given, and this one, this beautiful one, is mint as I love having mint in my drinks.
0	2	0	2	This one is Basil because I also love pesto, and I'm a fanatic about colors, so (my lovely) provided me a multicolored flowers- flowers set.
0	2	0	3	This is my lovely tomato garden.
0	2	1	3	We have our tomatoes already blooming, coming in.
0	2	0	3	I've already picked a lot.
0	2	0	3	Here is my roma tomatoes.
0	2	0	3	You can see the tag back there, and these beautiful, beautiful tomatoes.
0	2	0	3	This one I picked as it’s quite red already.
0	2	0	3	So, today I just collected four.
0	2	0	3	This one I took off, it wasn't ready to come off, but it was looking a bit pale.
0	2	1	4	I also have potatoes growing.
0	2	0	4	They're not going to be ready until all of these die, and then, we’ll know, the potatoes are ready.
1	3	1	5	Hello~!
0	3	0	5	This is two days since that previous clip, and this is all my tomatoes and I found some buggies eating some of the tomatoes, but, it's okay.
0	3	0	5	Aww~, hello handsome, hello.
0	3	0	5	Hi.
0	3	0	5	Today is a beautiful day where it's actually sunny.
0	3	0	5	Look.
0	3	0	5	Yay!
0	3	1	6	So, today we are finally going to be transferring our vegetables over.
0	3	0	6	I’ve brought my basket.
0	3	0	6	As you can see.
0	3	0	6	Yeah, I'm going to pick up my plants and some tomatoes.
0	3	0	6	Do you see that?
0	3	0	6	That, my friends, is a beautiful tomato.
0	3	0	6	Are you ready?
0	3	0	6	I’ve deemed it ready.
0	3	0	6	It's quite a nice red color, actually.
0	3	0	6	Wow.
0	3	0	6	Look at that.
0	3	0	6	Size of my hand.
0	3	0	6	That's amazing.
0	3	0	6	That is amazing.
0	3	0	6	I moved the leaves of this one because, as you can see, it's been not getting any sunlight.
0	3	0	6	So, I think it's been taking a bit of a hit.
0	3	0	6	They are all just slightly orange, orange-y red.
0	3	0	6	So, I might leave them just the rest of today.
0	3	0	6	It’s sort of like treasure hunting except it’s in a, in a giant bush.
0	3	0	6	Just me and my plant babies going off to new homes.
1	4	1	7	Hi.
0	4	0	7	I hope you can hear me, but, I've set up a little station for repotting.
0	4	0	7	I'm going to be over there.
0	4	0	7	I’ve also changed clothes because I couldn't find a better table than this bad boy.
0	4	0	7	So, I've got my basil, pesto (mint*), celosia, succulent, strawberries, and marigold.
0	4	0	7	Ace!
0	4	0	7	What do you thing you are doing bubba?
0	4	0	7	Touch my, my thing. :(
0	4	0	7	I don’t, I’m only a beginner gardener.
0	4	1	8	So, I actually don’t know what I'm really supposed to be doing outside of what I've been told, but!
0	4	0	8	I know I have these strawberries.
0	4	0	8	Lovely lady.
0	4	0	8	That needs to be repotted.
0	4	0	8	So, you choose a pot that's slightly bigger because you don't want them to feel overwhelmed...
0	4	0	8	like me. :D
0	4	0	8	So, I’ve got a few pots here we can use.
0	4	0	8	Never mind, there's a bunch of ants on it.
0	4	0	8	Okay, we can use the top one.
0	4	0	8	Top one is not a home.
0	4	0	8	Lovely.
0	4	0	8	This one, I believe, is slightly bigger.
0	4	0	8	Yes. Our whole pot can go in very nicely.
0	4	0	8	Hehe, Acey. <3
0	4	0	8	Ace: Hmm.
0	4	0	8	I’ve got my puppies out with me.
0	4	0	8	Ace: Hmmm.
0	4	0	8	Yes, we’re talking about you.
0	4	0	8	Good old, good old fashioned gardening.
0	4	0	8	That looks about enough.
0	4	0	8	That's about right, I think.
0	4	0	8	I actually have no idea if I'm doing this correctly.
0	4	0	8	I'm just going based off what I've been told over the last, what, six months I’ve been growing things.
0	4	0	8	So, all the best, hopefully.
0	4	1	9	Let’s get this baby out.
0	4	0	9	Yeah.
0	4	0	9	So, you can see all the roots have very much around the sides- and if i know anything probably means they need more room to grow.
0	4	0	9	So, let me get some of this soil.
0	4	0	9	We are just going to break up the roots a little bit.
0	4	0	9	I feel like I need to break them up slightly.
0	4	0	9	Just like shimmy it around.
0	4	0	9	Just so the roots feel a bit like more exposed and not compact.
0	4	0	9	I think that's how it's done.
0	4	0	9	I could be killing this plant and I feel horrible for doing that.
0	4	0	9	This is a strawberry plant.
0	4	0	9	I got her from my work...
0	4	0	9	which is shutting down, so, it was good opportunity.
0	4	0	9	Fill up around it, I think.
0	4	0	9	Would make sense, there's no dirt there, ‘cause it was in a smaller pot.
0	4	0	9	Hello bubba!
0	4	0	9	I’m replanting.
0	4	0	9	This is Lady., she's our little angry, beautiful baby.
0	4	0	9	Now that we’ve got it in, so, we (can) make it a little bit more compact, but we still want it to be airy because we want water to go through.
0	4	0	9	This is why I did it today, before I watered them and everything and it's not rainy.
0	4	0	9	I can water them now.
0	4	0	9	Now, all the soil would go- I don't know how it works, but you’re supposed to water them afterwards.
0	4	0	9	I guess so the soil sort of melds.
0	4	0	9	I think that's right.
0	4	0	9	Anyway, oop, it's slightly off center.
0	4	0	9	That's okay.
0	4	0	9	But, that one is our strawberry plant repotted.
0	4	1	10	Okay, and now I'm going to do the rest of these ones.
0	4	0	10	As you'll see shortly.
0	4	0	10	So, I've been informed.
0	4	0	10	I have to separate all these little boys.
0	4	0	10	How many we got?
0	4	0	10	One, two, three, four, five, six- twenty-one, twenty-two, twenty-three, twenty-four?!
0	4	0	10	That can't be right.
0	4	0	10	I don't believe that for a second.
0	4	0	10	Maybe- it looks like that bunch in the back over here, next to the- oh- yeah, over there.
0	4	0	10	That might be one.
0	4	0	10	This is definitely six, though, which is nice.
0	4	0	10	Unless it’s not six, is that three?
0	4	0	10	I don't know, but I’ve got to separate all of them?!
0	4	1	11	God damn, I'm going to have a little farm, but it's sort of okay, ‘cause I got all these little pots, but do I need smaller pots?
0	4	0	11	I don’t know if I have smaller pots.
0	4	0	11	These are like the smallest pots I have.
0	4	0	11	We’re going to see my little Lady.
0	4	0	11	Hello, Lady.
0	4	0	11	The smallest pots- yeah, and that- like, compared to that you can see they’re quite small.
0	4	0	11	My tomato could fit in one of these.
0	4	0	11	Let me get one out.
0	4	0	11	Okay.
0	4	0	11	This is (not) going to work.
0	4	0	11	Look at it!
0	4	0	11	It’s so tiny.
0	4	0	11	It’s a little baby.
0	4	0	11	<3 I don’t know, I feel like it's too big.
