boundary-coarse	segment-coarse	boundary-fine	segment-fine	sentence
0	1	0	1	[BEEP BEEP] Good morning Commander Scooby, today is day 512 of my daily vlogs.
0	1	0	1	Hope you're feeling as fine as I am today.
0	1	0	1	It's gonna be a good one.
0	1	0	1	Give me a like if you like having a good day and go check out my day 512 merch over on CafePress, it's only $35 a shirt.
1	2	1	2	It's a steal.
0	2	0	2	Let's go see what Joey's doing.
0	2	0	2	Hey, Joey.
0	2	0	2	What are you doing?
0	2	0	2	Where did you get that camera?
0	2	0	2	I took your last one.
0	2	0	2	I have more than one.
0	2	0	2	You don't have any money...
0	2	0	2	That's good.
0	2	0	2	I spend it all on cameras.
0	2	0	2	I'm not in it for the cash, just for the fame.
0	2	0	2	Take that haters.
0	2	0	2	Why are you calling them that?
1	3	1	3	I only have one fan... it's mostly haters.
0	3	0	3	So you're going to stop?
0	3	0	3	Well I can't disappoint my fan, can I?
0	3	0	3	Love you guy. [mouth click]
1	4	1	4	So last week I asked for suggestions on what to do this week, and you guys all had some cool ideas like stick your head in a blender, drive off a cliff, drive off a cliff headfirst into a blender.
0	4	0	4	Shout out to blenders.
0	4	0	4	But my favorite was a comment from Commander Scooby that said don't forget to eat lunch again today Which gave me a great idea!
0	4	0	4	Cooking videos!
0	4	0	4	[swishes and fast movement] I need to borrow your sandwich.
0	4	0	4	What?
0	4	0	4	Hey everybody, this is a great food hack that I learned from my friend Joey.
1	5	1	5	It's perfect for an easy and portable lunch and all you need is two slices of bread and some other stuff.
0	5	0	5	As you can see we've already got one started right here.
0	5	0	5	Why are you doing this?
0	5	0	5	Everybody knows how to make a sandwich.
0	5	0	5	Everybody knew what would happen if you shoved a bunch of cinnamon in your face too.
0	5	0	5	But there's still a million videos about that... by the way, comment down below if you'd like to see Joey take on the cinnamon challenge next we..
0	5	0	5	What?
0	5	0	5	No, no, no...
0	5	0	5	I'm done, give me my sandwich.
0	5	0	5	Mail Time!
1	6	1	6	Got another one of these today.
0	6	0	6	That's basically the same as always, but I really appreciate Costco hooking me up.
0	6	0	6	Thanks guys.
0	6	0	6	This one's got a high quality gloss finish as usual.
0	6	0	6	Pretty good photography, I could personally do without quite so many ads.
0	6	0	6	Stop reviewing the catalogs.
0	6	0	6	It's a brand deal.
0	6	0	6	They send those to everybody.
0	6	0	6	Sponsorships are really important to independent creators like myself, it allows us to keep making great content for you guys every single day.
0	6	0	6	Most of the things you're doing aren't even current YouTube trends.
0	6	0	6	You're too predictable.
0	6	0	6	Change it up, alright?
0	6	0	6	You'd be more unique.
0	6	0	6	You're gonna have one fan forever.
0	6	0	6	(Ha, get pranked)
0	6	0	6	Kyle: Suprise Cinnamon Challeeeeenge!!
0	6	0	6	So today was pretty crazy, got kicked out of my apartment again.
0	6	0	6	Joey will come around by midnight though, always does like 2:00 a.m. at the latest.
0	6	0	6	But it's the job, you know?
1	7	1	7	Got to keep making content to keep people happy.
0	7	0	7	Hey!
0	7	0	7	I told you not to film here.
0	7	0	7	Where'd you get that camera?
0	7	0	7	I thought I took the last one!
0	7	0	7	I'm a Youtuber.
0	7	0	7	I can do what I want.
0	7	0	7	Haters can't keep me down.
0	7	0	7	Shout out to my fan, doing this all for you, buddy.
0	7	0	7	Be sure to support me on Patreon.
