boundary-coarse	segment-coarse	boundary-fine	segment-fine	sentence
1	1	1	1	- Good morning, everybody.
0	1	0	1	Welcome back to another vlog.
0	1	1	2	It is a cloudy, rainy day today, which I am so excited about.
0	1	0	2	It's actually supposed to rain for, like, the next week or so.
0	1	0	2	So I feel like a lot of upcoming vlogs you are gonna see are rainy and cozy.
0	1	0	2	I'm sure a lot of you live in like, a normal climate where, you know, rain is maybe not something you look forward to, or get excited about, but oh man, I love it.
0	1	0	2	When I lived in Tennessee though, the rain would, you know, depress me a lot, depending on when it was, and how long it rained and stuff, it would get kind of depressing and I'd be like, "When is the sun gonna come out again?"
0	1	0	2	So I fully get it.
0	1	0	2	But you know, living in a place where it doesn't rain that often, it's exciting.
1	2	1	3	So I'm actually getting ready, as you can see by my hair.
0	2	0	3	I'm fully ready to leave.
0	2	0	3	I'm heading out the door here in just a few minutes because I am getting my nails done.
0	2	0	3	I was actually gonna do it yesterday, which was the last vlog that you all saw when I was out and about.
0	2	0	3	I just pulled my lashes, like, way too hard with that thing.
0	2	0	3	That was not good.
0	2	0	3	But they couldn't fit me in yesterday.
0	2	0	3	So I am going today, it's like, just before 10:00 AM.
0	2	0	3	I have no idea what I'm getting done, but all I know is these nails have gone way too long.
0	2	0	3	I usually go like every three weeks, but these are just atrocious.
0	2	0	3	They were really cute and fun while they lasted, like the fun sparkles, but we need to change it up immediately.
0	2	0	3	I have one that's, like, basically coming off, so, yeah, it's time.
0	2	0	3	Maybe we'll look at Pinterest ideas, or something like that, and get some inspo.
0	2	0	3	That's typically where I'll look for, like, nail inspo when I don't really know what to do.
0	2	0	3	So maybe I'll do that.
0	2	1	4	Just throwing on some mascara.
0	2	0	4	I just have some like tinted moisturizer on, a little bit of concealer, bronzer.
0	2	0	4	I actually do really need to wash my hair, which is why I'm gonna wear a hat when I go out today.
0	2	0	4	And I want to try out, like, a bunch of new hair products.
0	2	0	4	So maybe we'll do that here in a little bit.
0	2	0	4	Not sure if that interests any of you, but that's exciting to me.
1	3	0	4	I have been doing some editing this morning.
0	3	0	4	I edited the last vlog that you all just saw, and I have some main channel editing to do as well.
0	3	0	4	So I'll do that when I get back.
0	3	0	4	But it's so hard because, when it's cloudy outside, all you wanna do is just, like, lay in bed and do nothing, you know?
0	3	0	4	Or, like, sit on the couch and watch movies.
0	3	0	4	But I will persevere because the content ain't gonna edit its itself.
1	4	1	5	This mascara is not doing enough for me, so I need to add some more.
0	4	0	5	I'm gonna add some.
0	4	0	5	I was using the Maybelline Sky High mascara, which is one of my faves, but I feel like I need more volume, so I'm gonna add some of this Ilia Volumizing.
0	4	0	5	I can't use the Ilia one by itself, though, because it smears, like, all over my eyes if I do.
0	4	0	5	It's just not good on its own for my particular face.
0	4	0	5	Anyways, I'm blabbing.
0	4	1	6	Okay, let's see what we can do with this hair. (sighs)
0	4	0	6	There's still so much gel in my hair from yesterday.
0	4	0	6	I have to be very gentle 'cause I have extensions.
0	4	0	6	There's something in my eye.
0	4	0	6	And this is my hairstyle for the day.
0	4	1	7	I'm gonna throw on some earrings.
0	4	0	7	We'll just pop on some little gold hoops.
0	4	0	7	What is going on here?
0	4	0	7	I've got my little tank top and matching hoodie from Parallel Apparel.
0	4	0	7	I did a main channel video, reviewing, like, YouTuber clothing brands, and it's my first time wearing this one out today.
0	4	0	7	And then I just have my airy sweatpants on.
0	4	0	7	These are really comfortable, and they shed a lot, but they're cute.
0	4	1	8	All right, let's get in the car, head out the door, and go get these nails done.
0	4	0	8	Queen of the long intros here.
0	4	0	8	Hi, welcome.
1	5	1	9	(gentle music) All right, that, I tell you what, with, as a person with ADHD, going to the nail salon, oh my god, (gasps) going to the nail salon is, like, the largest test in patience.
0	5	0	9	That took an hour and a half.
0	5	0	9	I don't understand.
0	5	0	9	It was just a fill.
0	5	0	9	I'm so confused.
0	5	0	9	It's like a hard gel fill, but the person who did my nails was very meticulous and did a great job.
0	5	0	9	So no complaints here.
0	5	0	9	Went for like a little blue moment, something springy and fun.
0	5	0	9	Why not, on this just beautiful spring day?
1	6	1	10	I was listening to the "Back to the Beach" podcast, which is the "Laguna Beach" rewatch podcast with Kirsten and Steven.
0	6	0	10	Loved that.
0	6	0	10	But I actually think I'm gonna save some of those episodes because I have, like, a 12 hour plane ride coming up in a few weeks, and so, I think I might, like, watch a "Laguna Beach" episode, and then, like, listen to the podcast while I'm on the plane.
0	6	0	10	That might be something fun to do.
1	7	1	11	So yeah, I am going to maybe stop and get some lunch on the way 'cause it's only like 11:40, but I'll probably get hungry in, like, an hour or so.
0	7	0	11	So I might stop and get myself, like, a sweet green bowl, although, I do have stuff to make that at home.
0	7	0	11	So maybe I'll just do that instead.
0	7	0	11	It's the biggest, like, freaking flex of control as an adult, is knowing that you have food at home, but, like, wanting to pick up food when you're out.
0	7	0	11	Anyways, okay, let's head home.
1	8	1	12	(gentle music) (water fizzes) All right, we are out of the bath.
0	8	0	12	Yes, I did take another bath.
0	8	0	12	I would sit in the bathtub for hours and hours and hours every day if I could, like, honestly.
0	8	0	12	I think I sat in there for, like, two hours almost, and it felt like no time at all.
0	8	0	12	It's kind of concerning.
1	9	1	13	But anyways, it's time to make lunch.
0	9	0	13	I think I'm in the mood for, I think I showed this in a recent vlog, but I'm in the mood for, like, a spicy chicken sandwich, which is funny 'cause I haven't made one since I made that vlog, but whatever.
0	9	0	13	I'm talking, like, cafeteria style chicken patties.
0	9	0	13	So I got these spicy chicken patties.
0	9	0	13	I don't know if they're good or not.
0	9	0	13	I'm gonna throw one in the air fryer, and we are gonna have that for lunch.
0	9	0	13	It just sounds really good.
0	9	0	13	(air fryer clatters) (air fryer beeps) In case you're wondering what Moo's hyper-fixation spot of the week is, it's here. (chuckles)
1	10	1	14	Drew put a chair next to his desk.
0	10	0	14	It was the couch in our bedroom for a while.
0	10	0	14	It was the couch, itself, in our living room, the last couple of weeks.
0	10	0	14	It's sometimes under the covers in our bed, but as of today, he will be here for the foreseeable.
0	10	0	14	- [Drew] And he's done that too.
0	10	0	14	- [Carrie] Oh. -
0	10	0	14	[Drew] He's opened the closet to get inside of it.
0	10	0	14	- [Carrie] (laughs) Day in the life of Moo.
0	10	0	14	I'm talking about you.
0	10	0	14	You have anything to say?
0	10	0	14	Okay.
0	10	1	15	And look who's looking a lot better.
0	10	0	15	Hi. And you're cone free.
0	10	0	15	That little pink spot on her eyelid is where they took the tumor off, and it's actually gonna stay pink for like the next four weeks or so, until, like, the original color of her eyelid comes back.
0	10	0	15	But she's cone free. She did it.
0	10	0	15	Let's go outside. Come on.
1	11	1	16	Alright, that's almost done.
0	11	0	16	It has, like, less than a minute left.
0	11	0	16	So I've already shown you this, but here's what I do.
0	11	0	16	It's basically like a McDonald's McChicken, like a spicy McChicken, and we have this iceberg lettuce that I need to use.
0	11	0	16	So first I'm gonna do a little bit of mayonnaise.
0	11	0	16	You can't do too much.
0	11	0	16	Maybe do like a little bit.
0	11	0	16	I mean, is that a lot? I don't know.
0	11	0	16	Whatever. And then I actually, like, dip it in ranch.
0	11	0	16	It's really the only thing I eat ranch with, except maybe, like, boneless barbecue wings.
0	11	0	16	And we're gonna do a little bit of iceberg lettuce.
0	11	0	16	That was way too much, but whatever.
0	11	0	16	I'm gonna wait for that to come out.
0	11	0	16	And then on the side, I'm gonna do a few baby carrots and some crackers and some Bitchin' Sauce.
0	11	0	16	I was gonna do chips, but we're out of them.
0	11	0	16	And also I want to use up this stuff.
0	11	0	16	(air fryer beeps) Oh there it is.
0	11	0	16	We'll do, these are the Simple Mills, almond flour crackers.
0	11	0	16	They're pretty good.
0	11	0	16	So I'll do a few of those.
0	11	0	16	And then we'll put our patty, she's a beaut.
0	11	0	16	And I'm gonna do a little bit of Bitchin' Sauce.
0	11	0	16	This is kind of a very random lunch, but whatever.
0	11	1	17	I'm still a little nervous of, like, what I've been eating, 'cause I did have an IBS flare up yesterday.
0	11	0	17	I don't really talk about that a lot, because it's like, you know.
0	11	0	17	But if you have it, you feel me.
0	11	0	17	You understand.
0	11	0	17	So I'm just like, I don't know.
0	11	0	17	For me, it's like sometimes things will be fine, and then other times, things will be absolutely not fine.
0	11	0	17	So like for example, I've seen some people say that, like, vegetables or super fibrous things, or whatever, will give them a flare up, but for me it doesn't.
0	11	0	17	And, like, I've drank 12 Olipops in the last few weeks and I've been fine, but now I'm convinced that, like, Olipop is gonna, anyways I don't know, it's a whole thing.
0	11	1	18	But on that note, let's make ourselves an Olipop.
0	11	0	18	Let's see what we've got left.
0	11	0	18	We have a ginger lemon, we have a tropical punch, and a strawberry vanilla, I think.
0	11	0	18	Hmm, tropical punch is, like, one of my favorites.
0	11	0	18	So I think we're gonna go with that.
0	11	0	18	I also love the orange something, orange cream, orange twist.
0	11	0	18	I love the grape, I love them all. So okay.
0	11	0	18	We will put it in a cute little cup with some pebble ice, of course.
0	11	0	18	Don't mind this jacket sitting on the counter next to me.
0	11	0	18	That is out as a reminder that I need to, like, repolish this, or, basically, I washed it, and then I bought some, like, leather conditioner, and I only did one side of it, and I need to do the other side.
0	11	0	18	So we'll get to that.
0	11	0	18	(ice clinks) Oh, so satisfying.
0	11	0	18	I love this ice.
0	11	0	18	I'm in a honeymoon phase again with this ice maker, but when it ultimately breaks again, I'll hate it again.
0	11	0	18	(Olipop cracks) (Olipop splashes) Cheers.
0	11	0	18	Oh my god, it's so good.
0	11	0	18	I love it.
0	11	0	18	There is our very thrown together lunch that I am going to quite enjoy while I watch some YouTube videos, and then we'll catch up and style this hair, and see how it goes.
1	12	1	19	It's a little while later.
0	12	0	19	My hair is still wet.
0	12	0	19	We're gonna go do it in a second.
0	12	1	20	But I just got a call from Layla's ophthalmology office, and her lab results came back and her tumor was benign.
0	12	0	20	Yay.
0	12	0	20	So she doesn't have, like, any kind of cancer that we know of, and it's unlikely to spread throughout the rest of her body, so that's amazing.
0	12	0	20	So excited about that.
0	12	0	20	She's cone free, and as of, really, yesterday, she's been cone free, and she's healing super nicely and I'm just like, ugh.
0	12	0	20	I feel like I can finally take a breath, and just breathe and relax some of the anxiety that I've had over the last week.
0	12	0	20	It has been the most stressful seven days that I have had since probably, like, the pandemic when she got her leg surgery, or maybe when she got her teeth pulled.
0	12	0	20	I'm not sure. But anyways, I'm so happy.
0	12	0	20	So, all right, anyway, just thought I would share that bit of good news.
0	12	1	21	Let's do this hair.
0	12	0	21	I'm determined, okay?
0	12	0	21	All right, I'm determined to do, like, a cute 90s blowout today.
0	12	0	21	If it's the last thing I do, I'm gonna achieve this look okay?
0	12	0	21	I've been trying for so long, and I saw an Instagram video, recently, of, like, a tutorial and I was like, "I'm gonna try that." I actually ordered a few products when I got my extensions that were recommended by the stylist.
0	12	0	21	I used the clarifying shampoo and conditioner, and I really, really liked it.
0	12	0	21	I'll show you.
0	12	0	21	Not sponsored at all whatsoever, but all of these, pretty much, are by Davines, I think is how you say it.
0	12	0	21	And so I used the clarifying shampoo called Solu, Solu, and then, the, like, deep repairing conditioner called Melu.
0	12	0	21	I don't know what these names are, but anyways, these were both great, recommend them.
0	12	0	21	And now I'm also gonna do the Oi, O-I, All-In-One Milk.
0	12	0	21	And I think it's just like a leave-in conditioner.
0	12	0	21	I think I'm supposed to actually just spray it on my hair.
0	12	0	21	I'm gonna do a little bit of this.
0	12	0	21	Oh it smells so good.
0	12	0	21	Oh my god.
0	12	0	21	Does feel nice and hydrating.
0	12	0	21	And then what I'm gonna do is use the JVN Complete Blowout Styling Milk.
0	12	0	21	And this is what I bought in the last vlog.
0	12	0	21	I saw someone on Instagram use this and it seems really, really good.
0	12	0	21	So you're supposed to apply it on damp hair.
0	12	0	21	I mean my hair is like, wet to damp.
0	12	0	21	It's been air drying for like, I don't know, the last 30 minutes or so.
0	12	0	21	So I'm gonna do a little bit of that.
0	12	0	21	Use like two pumps.
0	12	0	21	I don't really know how much to use, but that looks about right.
0	12	0	21	And then I'm gonna run it, like, at my roots a little bit.
0	12	0	21	And then throughout the ends.
0	12	0	21	This feels very hydrating.
0	12	0	21	So I'm confused as to how this will help with the blowout and, like, holding it.
0	12	0	21	I feel like I, definitely, will probably need a mouse, but we're gonna try.
0	12	0	21	So let's see.
0	12	1	22	And now we go in with the blow dryer.
0	12	0	22	So I'm gonna blow dry my hair like 90% probably.
0	12	0	22	And then we'll go from there.
0	12	0	22	(blow dryer whines) All right, now we've got the rough dry done.
