boundary-coarse	segment-coarse	boundary-fine	segment-fine	sentence
1	1	1	1	Good Morning John, There have been a bunch of times over the last few weeks when this has become more and more real, this is the big one though.
1	2	1	2	So, I noticed that my lymph nodes were big.
0	2	0	2	I talked to my doctor, she said it was probably nothing, we’ll send you in for an ultrasound.
0	2	0	2	Got an ultrasound.
0	2	0	2	The tech in the ultrasound room was like, I’m gonna go get a doctor.
0	2	0	2	(laughs) That’s not what you want to have happen.
0	2	0	2	Um, she was great, the tech and so was the doctor.
0	2	0	2	And they were like, this looks like it could be suspicious uhh, for lymphoma and we’ll get you in for a biopsy.
0	2	1	3	And then I took the order for the surgery and like the paperwork down to the surgery office and I like gave it to the woman in the window And she’s like ooh!
0	2	0	3	Hand delivery!
0	2	0	3	And I was like, well yeah, the surgery’s tomorrow.
0	2	0	3	And she’s like oh, procrastinator.
0	2	0	3	And I was like, well no, it just got scheduled just now.
0	2	0	3	And then like, foonk.
0	2	0	3	Her eyes changed.
0	2	1	4	It’s like, when you’re in the  American Health Care System.
0	2	0	4	You don’t expect things to move quick Like, that’s not what it, that’s not what it does That’s not what it looks like.
0	2	0	4	And when it starts to get a little bit efficient It’s actually quite disconcerting.
0	2	0	4	I’ve seen that so many times and it doesn’t look like that!
0	2	0	4	What’s happening right now.
0	2	0	4	It’s like seeing a horse that has hands.
0	2	0	4	It’s just not.
0	2	0	4	That’s very upsetting.
0	2	0	4	Like, its good, I’m glad everybody's  taking things seriously right now.
0	2	1	5	So her eyes change, and it’s like seeing a flight attendant on a plane that’s in the air running down the aisle.
0	2	0	5	Like, that can’t be good.
0	2	0	5	Either somebody or everybody’s  having a very bad day.
0	2	0	5	Cause I don’t know all the noises a plane makes.
0	2	0	5	And I don't know all the ways the healthcare system works.
0	2	0	5	But you do!
0	2	0	5	Diagnosis And you look like something is weird.
0	2	0	5	I already knew it was weird though.
1	3	1	6	Everybody has been great and very supportive, but biopsy, uh, good news bad news.
0	3	0	6	One it’s cancer, it’s called lymphoma.
0	3	0	6	It’s a cancer of the lymphatic system.
0	3	0	6	And good news, is it’s something called Hodgkin's lymphoma.
0	3	0	6	It’s the most treatable– like one of the most treatable cancers.
0	3	0	6	It responds very well to treatment.
0	3	0	6	The goal is cure.
0	3	0	6	The procedure to get there is fairly well known if unpleasant.
0	3	1	7	I have a friend.
0	3	0	7	Amazingly enough, who has been through a diagnosis and treatment, and remission and is ten years post with Hodgkin's Lymphoma.
0	3	0	7	It’s been really nice to  have that in my back pocket.
0	3	0	7	For texting and being like, is this normal?
0	3	0	7	And, am I panicking?
0	3	0	7	And, please tell me I’m gonna be ok.
0	3	1	8	But the treatment is fairly well established Like, system of chemotherapies.
0	3	0	8	Which I’m gonna start very soon.
0	3	0	8	Um, not looking forward to it, I’m looking forward to starting on the path.
0	3	1	9	Yeah, prognosis is very good for people with Hodgkin’s Lymphoma.
0	3	0	9	It seems likely that we caught mine early.
0	3	0	9	I’m still waiting on a scan  to sort of confirm that.
0	3	0	9	But even when it’s not super early.
0	3	0	9	Even when it's in multiple parts of the body.
0	3	0	9	Hodgkins is super treatable  like solid mass tumors.
0	3	0	9	Like lung cancer, prostate cancer.
0	3	1	10	To figure out how to live somewhere else in the body is like a really big leap for them.
0	3	0	10	It means that they’ve changed and they’ve evolved and they’ve got like a bunch of new strategies for survival which is why metastasis in solid cancers is a really big deal.
0	3	0	10	This is a blood cancer so it’s a cancer of the immune cells– the lymphocytes and so they are already all over the body.
0	3	0	10	Other parts of the body are like hey-yo.
0	3	0	10	You’re fine here.
0	3	0	10	Whereas like, prostate cells in the lungs would normally get attacked.
0	3	0	10	And so prostate cancer cells in the lungs Means that they’ve developed a whole set of new strategies.
0	3	0	10	Lymphoma cells don't have to do that so it doesn’t mean something super bad if lymphoma cells have spread.
0	3	0	10	It’s worse, for clarity.
