boundary-coarse	segment-coarse	boundary-fine	segment-fine	sentence
0	1	0	1	Cairo (pronounced KY-roh; Arabic: القاهرة al-Qāhirah) is the capital of Egypt and, with a total population of Greater Cairo metropolitan area in excess of 16 million people, one of the largest cities in both Africa and the Middle East (the regions which it conveniently straddles).
0	1	0	1	It is also the 19th largest city in the world, and among the world's most densely populated cities.
0	1	0	1	On the Nile river, Cairo is famous for its own history, preserved in the fabulous medieval Islamic city and Coptic sites in Old Cairo — with historic Cairo inscribed on the UNESCO World Heritage list.
0	1	0	1	The Egyptian Museum in the city centre is a must see, with its countless Ancient Egyptian artefacts, as is shopping at the Khan al-Khalili bazaar.
0	1	0	1	No trip to Cairo would be complete without a visit to the Giza Pyramids and to the nearby Saqqara Pyramid Complex, where visitors will see Egypt's first step pyramid built by the architect Imhotep for the third dynasty pharaoh Djoser.
0	1	0	1	Though firmly attached to the past, Cairo is also home to a vibrant modern society.
0	1	0	1	"The Midan Tahrir area situated in downtown Cairo, built in the 19th century under the rule of Khedive Ismail, has strived to be a ""Paris on the Nile""."
0	1	0	1	There also are a number of more modern suburbs including Ma'adi and Heliopolis, while Zamalek is a quiet area on Gezira Island, with upmarket shopping.
0	1	0	1	Cairo is best in the fall or spring, when the weather isn't so hot.
0	1	0	1	A felucca ride on the Nile is a good way to escape from the busy city, as is a visit to Al-Azhar Park.
0	1	0	1	Since the revolution in 2011 and the counter-revolution, tourists fled Cairo to a large extent.
0	1	0	1	But by the end of the 2010s, they were returning, however tourism had not recovered fully, so you have an opportunity to see sites like the pyramids with smaller crowds.
0	1	0	1	Greater Cairo is vast; with more than 20 million people (2018), it's the largest metropolitan area in Africa and the Middle East.
0	1	0	1	Cairo is on the Nile, and has ancient origins in the vicinity of the Pharaonic city of Memphis.
0	1	0	1	"The city started to take its present form in 641 CE, when the Arab general Amr Ibn Al-Ase conquered Egypt for Islam and founded a new capital called Misr Al-Fustat, ""the City of the Tents""."
0	1	0	1	The legend is that Al-Ase, on the day he was leaving to conquer Alexandria, found two doves nesting in his tent.
0	1	0	1	Not wanting to disturb them, he left the tent.
0	1	0	1	Upon returning victorious, he called his soldiers to pitch their tents around his, and this became the site of the new city in what is now Old Cairo.
0	1	0	1	The name may have been a pun – Misr/Masr is the Arabic word for city, but it is also the Arabic name of the entire country of Egypt.
0	1	0	1	"The Tunisian Fatimid dynasty captured the city in 969 CE and founded a new city, Al-Qahira (""The Victorious"") just north of Al-Fustat."
1	1	1	1	Al-Qahira gave the city its English name, Cairo, but the locals still call it MàSr (مصر), which is also the Arabic name of the entire country of Egypt (similar to Mexico City in Mexico).
0	2	0	2	The best time to visit Cairo is during the winter from November to March, when daytime highs mostly stay below 26°C (79°F), with night time lows around 10°C (50°F) with occasional rain showers clearing the air, but still, you do not need an umbrella, even the rainiest months of the year rarely top 10 mm (0.4 in).
0	2	0	2	If visiting during winter, be aware that not all buildings are equipped with heaters, including some hotels and hostels.
0	2	0	2	Visitors should always pack a few warm jumpers (sweaters) and a warm jacket for evening wear.
1	2	1	2	In Cairo, in indoor buildings without air-conditioning, temperatures are about 15°C (59°F) in the coldest winter days and about 34°C (93°F) in the hottest summer days.
