boundary-coarse	segment-coarse	boundary-fine	segment-fine	sentence
0	1	0	1	Mumbai (Marathi: मुंबई Mumbaī, Hindi: मुम्बई Mumbaī) (state tourism office), earlier known as Bombay, is the largest city in India and the capital of the state Maharashtra.
0	1	0	1	A cosmopolitan metropolis, Mumbai was originally a conglomeration of seven islands on the Konkan coastline which over time were joined to form the island city of Bombay.
0	1	0	1	The island was in turn joined with the neighbouring island of Salsette to form Greater Bombay.
0	1	1	1	The city has an estimated metropolitan population of 21 million (2011), making it one of the world's most populous cities.
0	1	0	2	Mumbai is undoubtedly the commercial capital of India and is one of the predominant port cities in the country.
0	1	0	2	Mumbai's nature as the most eclectic and cosmopolitan Indian city is symbolised in the presence of Bollywood within the city, the centre of the globally-influential Hindi film and TV industries.
0	1	1	2	It is also home to India's largest slum population and the iconic Gateway of India built on the waterfront of Mumbai Harbour during the British Raj.
0	1	0	3	"The name Bombay comes from Bom Bahia (""the good bay"" in Portuguese), a name given by explorer Francis Almeida."
0	1	0	3	Mumbai is named after the goddess Mumbadevi of the Koli community.
0	1	0	3	Western and Central, East and West
0	1	0	3	"A visitor to Mumbai's suburbs will quickly learn that the suburbs are divided into ""Western"" and ""Central""."
0	1	1	3	"You will also hear of a ""West"" side and an ""East"" side."
0	1	0	4	Here is a quick explanation for the confused:
0	1	0	4	Mumbai is a city built in successive waves of migrations.
0	1	0	4	The neighbourhoods acquired their character from the communities that settled there first.
0	1	1	4	These neighbourhoods are too numerous to list and there is no commonly accepted way to group these neighbourhoods into larger districts.
0	1	1	5	But roughly, from the south to the north, this is how the city developed.
0	1	0	6	The term Old Mumbai is used here to refer to the peninsular portion of Mumbai, which was the city till the 1940s when it expanded to cover the suburbs in the north.
0	1	1	6	Mumbai is a bustling, diverse metropolis with a flair of its own.
0	1	0	7	The entrepreneurial spirit and pulsing pace of life provide a sharp contrast to much of the rest of India.
0	1	0	7	There has been much debate regarding the original name of the city.
