boundary-coarse	segment-coarse	boundary-fine	segment-fine	sentence
1	1	1	1	Cape Town (Afrikaans: Kaapstad, Xhosa: iKapa) is the second most populous city in South Africa.
0	1	0	1	The capital of Western Cape Province, it is also the legislative capital of the nation.
0	1	0	1	Cape Town is on South Africa's southwestern coast close to the Cape of Good Hope, and is the southernmost city on the African continent.
0	1	0	1	It is the gateway to the globally renowned Cape Winelands which includes the towns of Franschhoek, Stellenbosch and Paarl.
0	1	0	1	Cape Town is nicknamed the Mother City within South Africa.
0	1	0	1	Compared to the more business oriented Johannesburg it is known for its relaxed and leisurely atmosphere.
0	1	0	1	Compared to other parts of South Africa, Cape Town is also distinctly more "western".
0	1	0	1	The metropolis of Cape Town is spread over a wide area, from Somerset West and Durbanville in the east to Atlantis in the north and Cape Point in the south.
0	1	0	1	The city centre is situated in a fairly small area between Table Bay and Table Mountain.
0	1	1	2	The original Dutch settlement, and the heart of the current city, is southwest of Strand St, "Beach street" in Afrikaans, since it followed the original waterfront during the 17th century.
0	1	0	2	Since then, centuries of landfills have successively moved the shoreline some 1,200 m (3,900 ft) northeast to its current position.
0	1	0	2	The old city centre is intersected by avenues like Long St, St Georges Mall and Adderley St, and is approximately bounded by the Company Gardens in the southwest, the Castle of Good Hope in the east, and the slopes of Signal Hill in the northwest.
0	1	0	2	During the 19th century, these slopes were settled by Cape Town's Malay Muslim population, creating the area Bo-Kaap, which translates into "Above the Cape" or "Upper Cape".
0	1	0	2	Before the European colonial era what is now the Western Cape was inhabited by Khoikhoi and San groups, whom the Dutch called "Hottentots", "Strandlopers" and "Bushmen" (terms that are now considered racist and offensive).
0	1	0	2	From the late 15th century, European ships (primarily Portuguese) started to visit the area, firstly for fresh food and water, then later for whaling and trading with the locals.
0	1	0	2	Cape Town's colonial history started in 1652, when founder Jan van Riebeeck established a trading post there for the Dutch East Indies Company (VOC), as a stopping point on the Cape Route.
0	1	0	2	Even though South Africa is the part of Africa located furthest from Europe, it was the first, and up until the 19th century, only place which was substantially colonized by Europeans since the Roman Empire in North Africa.
0	1	0	2	The reason is that the Cape, while being furthest from Europe, also is relatively far from the equator.
0	1	0	2	The Europeans therefore found the climate temperate enough to grow European crops, and the Cape was in a strategically important position for intercontinental trade.
0	1	0	2	The earliest European settlers were predominantly Dutch along with some Protestant Huguenots from northern France fleeing from being persecuted by the Catholics.
0	1	0	2	These settlers over time explored the adjacent hinterland and founded the cities of Paarl and Stellenbosch in what is today the Cape Winelands.
