boundary-coarse	segment-coarse	boundary-fine	segment-fine	sentence
0	1	0	1	"One of the world's greatest cities, New York (known as ""The Big Apple"", ""NYC,"" and often called ""New York City"") is a global center for media, entertainment, art, fashion, research, finance, and trade."
0	1	1	1	The bustling, cosmopolitan heart of the 4th largest metropolis in the world and by far the most populous city in the United States, New York has long been a key entry point and a defining city for the nation.
0	1	0	2	From the Statue of Liberty in the harbor to the Empire State Building towering over the Manhattan skyline, from the tunnels of the subway to the riches of Wall Street, from the bright signs of Times Square to the naturalistic beauty of Central Park, and from Yankee Stadium in the Bronx to Coney Island in Brooklyn, New York's landmarks are quintessential American landmarks.
0	1	0	2	The city's neighborhoods and streets are so iconic they have become ingrained into the American consciousness.
0	1	1	2	Here the power, wealth and culture of the United States is on full display in one of the largest and most iconic skylines in the world, in the food and music to be found around every corner, and in the diverse population of immigrants who come from every corner of the globe to take part in what this city has to offer.
0	1	0	3	Lying at the mouth of the Hudson River in the southernmost part of the state of the same name and at the center of the Mid-Atlantic region, New York City is home to approximately 8.3 million people.
0	1	1	3	The New York Metropolitan Area, which spans lower New York state, northern New Jersey, and southwestern Connecticut, has a population of 18.9 million, making it the largest metropolitan area in the U.S.
0	1	0	4	New York City consists of five boroughs, which are five separate counties.
0	1	0	4	Each borough has a unique culture and could be a large city in its own right.
0	1	0	4	Within each borough individual neighborhoods, some only a few blocks in size, have personalities lauded in music and film.
0	1	1	4	Where you live, work, and play in New York says something to New Yorkers about who you are.
0	1	0	5	The five New York boroughs are:
0	1	0	5	New York City is a major global center of international finance, politics, communications, film, music, fashion, and culture, and is among the world's most important and influential cities.
0	1	0	5	It is home to many world-class museums, art galleries, and theaters.
0	1	0	5	Many of the world's largest corporations have their headquarters here.
0	1	1	5	The headquarters of the United Nations is in New York and most countries have a consulate here.
0	1	0	6	This city's influence on the world and all its inhabitants is hard to overstate, as decisions made within its boundaries often have impacts and ramifications around the globe.
0	1	1	6	Immigrants (and their descendants) from over 180 countries live here, making it one of the most cosmopolitan cities in the world.
0	1	0	7	Travelers are attracted to New York City for its culture, energy and cosmopolitanism.
0	1	0	7	The first human settlers are believed to have arrived in the area at around 7000 BCE, though this settlement was later abandoned.
0	1	1	7	A subsequent wave of settlers, known as the Lenape people, would then arrive at around 1000 BCE.
0	1	0	8	Although they have been largely wiped out from the area since the days of European settlement, many of the thoroughfares used by them, such as Broadway, continue to be in use to this day.
0	1	0	8	The first Europeans to settle in the area were the Dutch in 1609, who named the colony New Amsterdam (Dutch: Nieuw Amsterdam).
0	1	1	8	The colony was conquered by the British in 1664, who re-named the colony New York.
0	1	0	9	Columbia University, the most prestigious in the city, and one of the most prestigious in the United States, was founded during the British colonial period in 1754.
0	1	0	9	For much of the War of Independence, New York City remained a British stronghold.
0	1	0	9	The British only withdrew from the city in 1783, allowing George Washington's troops to march in and claim it for the United States of America.
0	1	0	9	New York City became the first capital of the United States of America in 1789, though this status was short-lived as the capital was transferred to Philadelphia only a year later.
0	1	1	9	Nevertheless, during that period, the first United States Congress was convened at what is now Federal Hall on Wall Street, and George Washington was also inaugurated as the first President of the United States on the steps of Federal Hall.
0	1	0	10	The Supreme Court of the United States was first convened at the now-demolished Royal Exchange Building, which was adjacent to Federal Hall.
0	1	0	10	The borough of Manhattan is a long, narrow island nestled in a natural harbor.
