boundary-coarse	segment-coarse	boundary-fine	segment-fine	sentence
0	1	0	1	Hi.
0	1	0	1	My lovely has provided me with some new plants, which I am grabbing now, and I'm going to set them up in my little garden, and tomorrow I'll be replanting them. :)
0	1	0	1	I've already been growing it for...maybe a couple of months now; maybe five, six months, which is some tomatoes.
0	1	0	1	And now, I'm adding some new ones to it.
0	1	0	1	So, here's the very cute basket I've been given, and this one, this beautiful one, is mint as I love having mint in my drinks.
0	1	0	1	This one is Basil because I also love pesto, and I'm a fanatic about colors, so (my lovely) provided me a multicolored flowers- flowers set.
0	1	0	1	This is my lovely tomato garden.
0	1	0	1	We have our tomatoes already blooming, coming in.
1	1	1	1	I've already picked a lot.
0	2	0	2	Here is my roma tomatoes.
0	2	0	2	You can see the tag back there, and these beautiful, beautiful tomatoes.
0	2	0	2	This one I picked as it’s quite red already.
0	2	0	2	So, today I just collected four.
0	2	0	2	This one I took off, it wasn't ready to come off, but it was looking a bit pale.
0	2	0	2	I also have potatoes growing.
0	2	0	2	They're not going to be ready until all of these die, and then, we’ll know, the potatoes are ready.
0	2	0	2	Hello~!
0	2	0	2	This is two days since that previous clip, and this is all my tomatoes and I found some buggies eating some of the tomatoes, but, it's okay.
0	2	0	2	Aww~, hello handsome, hello.
0	2	0	2	Hi.
0	2	0	2	Today is a beautiful day where it's actually sunny.
0	2	0	2	Look.
0	2	0	2	Yay!
0	2	0	2	So, today we are finally going to be transferring our vegetables over.
0	2	0	2	I’ve brought my basket.
0	2	0	2	As you can see.
0	2	0	2	Yeah, I'm going to pick up my plants and some tomatoes.
0	2	0	2	Do you see that?
0	2	0	2	That, my friends, is a beautiful tomato.
0	2	0	2	Are you ready?
0	2	0	2	I’ve deemed it ready.
0	2	0	2	It's quite a nice red color, actually.
0	2	0	2	Wow.
0	2	0	2	Look at that.
0	2	0	2	Size of my hand.
0	2	0	2	That's amazing.
0	2	0	2	That is amazing.
1	2	1	2	I moved the leaves of this one because, as you can see, it's been not getting any sunlight.
0	3	0	3	So, I think it's been taking a bit of a hit.
0	3	0	3	They are all just slightly orange, orange-y red.
0	3	0	3	So, I might leave them just the rest of today.
0	3	0	3	It’s sort of like treasure hunting except it’s in a, in a giant bush.
1	3	1	3	Just me and my plant babies going off to new homes.
0	4	0	4	Hi.
0	4	0	4	I hope you can hear me, but, I've set up a little station for repotting.
0	4	0	4	I'm going to be over there.
0	4	0	4	I’ve also changed clothes because I couldn't find a better table than this bad boy.
0	4	0	4	So, I've got my basil, pesto (mint*), celosia, succulent, strawberries, and marigold.
