boundary-coarse	segment-coarse	boundary-fine	segment-fine	sentence
0	1	0	1	Sydney is the Harbour City, and is the oldest and most cosmopolitan city in Australia with an enviable reputation as one of the world's most beautiful and livable cities.
0	1	0	1	Brimming with history, nature, culture, art, fashion, cuisine and design, it is set next to miles of ocean coastline and sandy surf beaches.
0	1	0	1	The city is also home to the Sydney Opera House and the Sydney Harbour Bridge, two of the most iconic structures on the planet.
0	1	1	1	The gateway to Australia, it lies on the deepest natural harbour in the world and stretches for 140 kilometres.
0	1	0	2	Sydney is a major global city and an important finance centre in the Asia-Pacific region.
0	1	0	2	The city is surrounded by nature and national parks, which extend through the suburbs and right to the shores of the harbour.
0	1	0	2	Sydney has a compact city core surrounded by sprawling suburbs, forming a vast metropolitan area.
0	1	1	2	The city central is shaped roughly like a stubby palm-up left hand: the heel of the thumb as City South, the thumb as the district Darling Harbour, the first finger as The Rocks, the palm with the second and third fingers as City Centre - CBD and the rest as City East.
0	1	0	3	Greater Sydney, the sprawling suburbs in the vast city metropolitan area surrounding Central Sydney spread for up to 150 km westward from the CBD.
1	1	0	3	The traveller visiting the suburbs will find less crowded beaches, parks, cheaper shopping, commercial centres, cultural festivals, hidden gems and the many national parks within the metropolitan area.
0	2	0	3	While originally settled 60,000 years ago, Sydney is the oldest European settlement in Australia, having been established as a British penal colony on 26 January 1788 by Arthur Phillip.
0	2	0	3	This day is now celebrated as Australia Day to mark the establishment of a new nation, although also regarded by many as Invasion Day that marked the beginning of the British appropriation of Aboriginal land.
0	2	1	3	"The settlement was named ""Sydney"" after Thomas Townshend, 1st Viscount Sydney, who was the British Home Secretary at that time."
0	2	0	4	Sydney is one of the most cosmopolitan cities on the planet, with a bit less than one third of its population born overseas.
0	2	0	4	European settlement rapidly displaced the Aboriginal people of the Sydney area with colonists largely coming from England, Ireland and Scotland.
0	2	0	4	The Australian gold rush attracted more immigrants, including a significant number of Chinese, with about one in six Australians with convict descent also having some Chinese ancestry.
0	2	0	4	In the early 20th century, Sydney continued to attract immigrants - mostly from the UK and Ireland, with the White Australia Policy preventing non-European peoples (and even Southern Europeans) from settling.
0	2	0	4	Australia's immigration patterns, and consequently, that of Sydney, changed significantly after World War II, when migrants began to arrive from countries as diverse as Italy, Greece, Germany, the Netherlands, China, New Zealand, India, the Philippines, Poland, Lebanon, Iraq, Vietnam, Thailand, South Africa and the Pacific Islands.
1	2	1	4	Sydney's culture, food and general outlook well reflect these contributions to the majority Anglo-Celtic institutions and social establishment.
0	3	0	5	Sydney is recognised worldwide for its vibrant LGBT community.
0	3	0	5	Every year, the Sydney Gay and Lesbian Mardi Gras is celebrated on the first weekend in March, drawing people from all over Australia and the world for the celebrations.
0	3	0	5	"Sydney was the centre of the world's attention in September 2000 when the city hosted the Summer Olympics - announced by the IOC Chairman at the closing ceremony to be ""the best games ever""."
0	3	1	5	The Olympics saw a major building and renovation program take hold of Sydney, positioning it as one of the great world cities of the 21st century.
0	3	0	6	Sydney enjoys over 300 sunny days each year, and it's a year-round destination.
0	3	0	6	Avoid the hottest days for energetic outside activities.
0	3	0	6	Sydney's Western Suburbs, which lie away from the coast, tend to be hotter during the day, colder during the night and not receive as much rain.
0	3	0	6	They miss the afternoon sea breezes and the night-time warming effect of the ocean.
0	3	0	6	Most public buildings like shopping centres are climate controlled inside.
0	3	0	6	Sydney has a fascination with year-round alfresco dining, where you can find yourself dining mid-winter outdoors with a heater a few tables away.
0	3	0	6	Around 90% of public transport has heating and cooling.
0	3	0	6	For the other 10% climate control consists of an open window.
1	3	1	6	Carry water on a hot day.
0	4	0	7	Sydney climate and weather information is available online at the Australian Bureau of Meteorology.
0	4	0	7	Sydney’s skyline is large and widely recognisable.
0	4	0	7	Sydney also possesses a wide diversity of modern and old architectural styles.
0	4	0	7	They range from the simple Francis Greenway's Georgian buildings to Jorn Utzon’s Expressionist Sydney Opera House.
0	4	0	7	Sydney also has many Victorian buildings, such as the Sydney Town Hall and the Queen Victoria Building.
0	4	0	7	The most architecturally significant structures include the Sydney Opera House and the Sydney Harbour Bridge.
0	4	0	7	Skyscrapers in Sydney are also large and modern.
1	4	1	7	The tallest building is the 300-m-tall Sydney Tower, seen rising clearly above the rest of the Sydney skyline and can even be seen from distant Wentworthville.
0	5	0	8	There are also pockets of architecturally significant housing dotted around Sydney's suburbs.
