boundary-coarse	segment-coarse	boundary-fine	segment-fine	sentence
0	1	0	1	"One of the world's greatest cities, New York (known as ""The Big Apple"", ""NYC,"" and often called ""New York City"") is a global center for media, entertainment, art, fashion, research, finance, and trade."
1	1	1	1	The bustling, cosmopolitan heart of the 4th largest metropolis in the world and by far the most populous city in the United States, New York has long been a key entry point and a defining city for the nation.
0	2	0	2	From the Statue of Liberty in the harbor to the Empire State Building towering over the Manhattan skyline, from the tunnels of the subway to the riches of Wall Street, from the bright signs of Times Square to the naturalistic beauty of Central Park, and from Yankee Stadium in the Bronx to Coney Island in Brooklyn, New York's landmarks are quintessential American landmarks.
0	2	0	2	The city's neighborhoods and streets are so iconic they have become ingrained into the American consciousness.
1	2	1	2	Here the power, wealth and culture of the United States is on full display in one of the largest and most iconic skylines in the world, in the food and music to be found around every corner, and in the diverse population of immigrants who come from every corner of the globe to take part in what this city has to offer.
0	3	0	3	Lying at the mouth of the Hudson River in the southernmost part of the state of the same name and at the center of the Mid-Atlantic region, New York City is home to approximately 8.3 million people.
0	3	0	3	The New York Metropolitan Area, which spans lower New York state, northern New Jersey, and southwestern Connecticut, has a population of 18.9 million, making it the largest metropolitan area in the U.S.
0	3	0	3	New York City consists of five boroughs, which are five separate counties.
0	3	0	3	Each borough has a unique culture and could be a large city in its own right.
1	3	1	3	Within each borough individual neighborhoods, some only a few blocks in size, have personalities lauded in music and film.
0	4	0	4	Where you live, work, and play in New York says something to New Yorkers about who you are.
0	4	0	4	The five New York boroughs are:
0	4	0	4	New York City is a major global center of international finance, politics, communications, film, music, fashion, and culture, and is among the world's most important and influential cities.
0	4	0	4	It is home to many world-class museums, art galleries, and theaters.
0	4	0	4	Many of the world's largest corporations have their headquarters here.
0	4	0	4	The headquarters of the United Nations is in New York and most countries have a consulate here.
1	4	1	4	This city's influence on the world and all its inhabitants is hard to overstate, as decisions made within its boundaries often have impacts and ramifications around the globe.
0	5	0	5	Immigrants (and their descendants) from over 180 countries live here, making it one of the most cosmopolitan cities in the world.
0	5	0	5	Travelers are attracted to New York City for its culture, energy and cosmopolitanism.
1	5	1	5	The first human settlers are believed to have arrived in the area at around 7000 BCE, though this settlement was later abandoned.
0	6	0	6	A subsequent wave of settlers, known as the Lenape people, would then arrive at around 1000 BCE.
0	6	0	6	Although they have been largely wiped out from the area since the days of European settlement, many of the thoroughfares used by them, such as Broadway, continue to be in use to this day.
0	6	0	6	The first Europeans to settle in the area were the Dutch in 1609, who named the colony New Amsterdam (Dutch: Nieuw Amsterdam).
0	6	0	6	The colony was conquered by the British in 1664, who re-named the colony New York.
0	6	0	6	Columbia University, the most prestigious in the city, and one of the most prestigious in the United States, was founded during the British colonial period in 1754.
0	6	0	6	For much of the War of Independence, New York City remained a British stronghold.
0	6	0	6	The British only withdrew from the city in 1783, allowing George Washington's troops to march in and claim it for the United States of America.
1	6	1	6	New York City became the first capital of the United States of America in 1789, though this status was short-lived as the capital was transferred to Philadelphia only a year later.
0	7	0	7	Nevertheless, during that period, the first United States Congress was convened at what is now Federal Hall on Wall Street, and George Washington was also inaugurated as the first President of the United States on the steps of Federal Hall.
0	7	0	7	The Supreme Court of the United States was first convened at the now-demolished Royal Exchange Building, which was adjacent to Federal Hall.
0	7	0	7	The borough of Manhattan is a long, narrow island nestled in a natural harbor.
0	7	0	7	It is separated from The Bronx on the north east by the Harlem River (actually a tidal strait); from Queens and Brooklyn to the east and south by the East River (also a tidal strait); and from the State of New Jersey to the west and north by the Hudson River.
0	7	0	7	Staten Island lies to the southwest, across Upper New York Bay.
0	7	0	7	In Manhattan, the terms “uptown” and “north” mean northeast, while “downtown” and “south” mean to the southwest.
0	7	0	7	To avoid confusion, simply use “uptown” and “downtown.”
0	7	0	7	Street numbers continue from Manhattan into the Bronx, and the street numbers rise as one moves farther uptown (however, in the Bronx, there is no simple numerical grid, so there may be 7 blocks between 167 St. and 170 St., for example).
1	7	1	7	Avenues run north and south.
0	8	0	8	In Brooklyn, street numbers rise as one moves south.
1	8	1	8	Queens streets are laid out in a perpendicular grid – street numbers rise as one moves toward the east, and avenues run east and west.
0	9	0	9	Staten Island's grid system is small and insignificant, only covering one neighborhood.
0	9	0	9	The term “the city” may refer either to New York City as a whole, or to the borough of Manhattan alone, depending on the context.
0	9	0	9	The other boroughs - Brooklyn,
0	9	0	9	"The Bronx, Staten Island, and Queens - are sometimes referred to as the ""outer boroughs.”"
0	9	0	9	There has been a pronounced local warming trend in New York City since the 1990s, but the climate is still temperate, except in the summer.
0	9	0	9	Due to its proximity to the humid continental climate zone of the north, it generally experiences all four seasons, with hot and humid summers (Jun-Sept), mild to cool falls (Sept-Nov), mild to very cold winters (Dec-Mar), and increasingly mild, wet springs (Mar-Jun).
