boundary-coarse	segment-coarse	boundary-fine	segment-fine	sentence
0	1	0	1	- Good morning, everybody.
0	1	0	1	Welcome back to another vlog.
0	1	0	1	It is a cloudy, rainy day today, which I am so excited about.
0	1	0	1	It's actually supposed to rain for, like, the next week or so.
0	1	0	1	So I feel like a lot of upcoming vlogs you are gonna see are rainy and cozy.
0	1	0	1	I'm sure a lot of you live in like, a normal climate where, you know, rain is maybe not something you look forward to, or get excited about, but oh man, I love it.
1	2	1	2	"When I lived in Tennessee though, the rain would, you know, depress me a lot, depending on when it was, and how long it rained and stuff, it would get kind of depressing and I'd be like, ""When is the sun gonna come out again?"""
0	2	0	2	So I fully get it.
0	2	0	2	But you know, living in a place where it doesn't rain that often, it's exciting.
1	3	1	3	So I'm actually getting ready, as you can see by my hair.
0	3	0	3	I'm fully ready to leave.
0	3	0	3	I'm heading out the door here in just a few minutes because I am getting my nails done.
0	3	0	3	I was actually gonna do it yesterday, which was the last vlog that you all saw when I was out and about.
0	3	0	3	I just pulled my lashes, like, way too hard with that thing.
0	3	0	3	That was not good.
0	3	0	3	But they couldn't fit me in yesterday.
1	4	1	4	So I am going today, it's like, just before 10:00 AM.
0	4	0	4	I have no idea what I'm getting done, but all I know is these nails have gone way too long.
0	4	0	4	I usually go like every three weeks, but these are just atrocious.
0	4	0	4	They were really cute and fun while they lasted, like the fun sparkles, but we need to change it up immediately.
0	4	0	4	I have one that's, like, basically coming off, so, yeah, it's time.
0	4	0	4	Maybe we'll look at Pinterest ideas, or something like that, and get some inspo.
0	4	0	4	That's typically where I'll look for, like, nail inspo when I don't really know what to do.
0	4	0	4	So maybe I'll do that.
0	4	0	4	Just throwing on some mascara.
0	4	0	4	I just have some like tinted moisturizer on, a little bit of concealer, bronzer.
1	5	1	5	I actually do really need to wash my hair, which is why I'm gonna wear a hat when I go out today.
0	5	0	5	And I want to try out, like, a bunch of new hair products.
0	5	0	5	So maybe we'll do that here in a little bit.
