boundary-coarse	segment-coarse	boundary-fine	segment-fine	sentence
0	1	0	1	 - Good morning everybody, welcome to another vlog from my bathroom where I am frantically trying to get ready for something that I probably should have gotten ready for a while ago.
0	1	0	1	 It's actually just shy of 8:00 AM.
0	1	0	1	 I literally woke up at like 7:20.
0	1	0	1	 Who am I?
0	1	0	1	 Usually I have Layla outside by like 6:45 in the morning.
1	1	1	1	 I just stayed up late reading last night.
0	2	0	2	 But today I am actually doing a bunch of prep stuff to be going out of town in a bit.
0	2	0	2	 So I'm going to get a last minute dermatology appointment in this morning.
0	2	0	2	 We'll chat and then I'm also gonna be getting my brows done and then after that I'm getting my nails done.
0	2	0	2	 And yes, in case you didn't notice when I have a trip planned it's all I talk about for months leading up to it.
0	2	0	2	 I'm just doing some quick like beach waves in my hair.
0	2	0	2	 I was gonna walk to this appointment but I think I'm just gonna end up driving.
0	2	0	2	 I don't know, it's a really nice morning.
0	2	0	2	 The weather has been so on and off in LA.
0	2	0	2	 It's been raining and then beautiful and then raining and then beautiful and like we've gotten proper rain this winter.
0	2	0	2	 Feels like it's rained nonstop since like late December.
0	2	0	2	 Kind of crazy.
0	2	0	2	 But yeah, if you didn't know, I am flying to Arizona to go see Taylor Swift and (inaudible) oh my god.
0	2	0	2	 And then heading back to LA, packing everything up and going to freaking Japan.
0	2	0	2	 We talked a little bit about it in December when we booked it and it's been kind of touch and go with Layla's Health.
0	2	0	2	 Like we've kind of been like, are we going?
1	2	1	2	 Are we not going?
0	3	0	3	 One of the things on my to-do list is to book Layla another vet appointment this morning, but she's gonna be fine.
0	3	0	3	 It's just life of a senior pet and yeah I can't believe we're really doing it.
0	3	0	3	 I'm so excited, we're going for 10 days and we're going with some of our friends, one of my friends from high school and her husband who we have grown really close with over the years of living in LA and not living in LA.
0	3	0	3	 Anyway, just wanted to start this vlog and say hi and say good morning.
0	3	0	3	 Oh, my god, I've been talking for almost five minutes.
0	3	0	3	 No, I must lose my access to a camera for a little bit.
1	3	1	3	 All right, hair is done.
0	4	0	4	 Just did a quick little beach wave moment.
0	4	0	4	 I'm not wearing makeup 'cause I'm going to the dermatologist and then I'm also, like I said going to the brows after that so there's no point.
1	4	1	4	 But I am running late so let's run over to our appointment and then we'll catch up after.
0	5	0	5	 I'm breaking in a new pair of Converse today for my trip so pray for my feet.
0	5	0	5	 (light music) All right, just finished at the derm, that was great.
0	5	0	5	 I actually ended up getting a Botox touch up while I was there, so I was like why not?
0	5	0	5	 And then I the reason I went was to get some moles checked just for like regular checkups 'cause that's important.
1	5	1	5	 Do that, make sure, especially if you have skin cancer in your family.
0	6	0	6	 And then I also went because I have been I think I've talked about this periodically on my channel but I have a really dry scalp and it itches.
0	6	0	6	 I don't really have a lot of dandruff, a little bit, occasionally, but it just itches so much and I've talked about it before and a lot of you recommended the Nizoral shampoo.
0	6	0	6	 I've used that off and on for like a year and it's done nothing.
0	6	0	6	 So I was like, I need to see a dermatologist about this.
0	6	0	6	 She looked at my scalp, she said some of it is irritated but there actually isn't like dandruff, like a lot of like flakiness.
0	6	0	6	 So she prescribed me like a solution to put on my hair at night, to put on my scalp at night.
0	6	0	6	 I think it's got like some steroid or something in it so maybe that will help with some of like the irritation because basically just my scalp is really dry so I just need to like hydrate it a bit more.
1	6	1	6	 So that is the plan, that is what I'm gonna do.
0	7	0	7	 And then I'll go back when I get back from my trip and then we can check up on those things.
0	7	0	7	 But yeah, so that's done.
0	7	0	7	 Now I'm headed to my brow appointment.
0	7	0	7	 I haven't had my brows done in about four weeks maybe, maybe five, no I think it's been like four.
0	7	0	7	 I'm not getting them laminated today I don't think.
0	7	0	7	 I think it's been too soon in between but I am gonna get them tinted and like shaped and stuff today.
0	7	0	7	 So I'll be there in about nine minutes and then I'm gonna get some like food or Starbucks or something on the way, we'll see, so I might stop in there.
1	7	1	7	 And then we're gonna get our brows done.
0	8	0	8	 (light music) All right, the brows are now done, got my Starbucks on the way and this brown sugar, ice shaken milk, espresso, whatever it's called, a million different names, it's so good, it's like crack, mm, I can't stop.
0	8	0	8	 Okay, I haven't put a damn thought into what I wanna do for my nails yet but these will be the nails that I have for Taylor Swift and for Japan.
0	8	0	8	 So we have a lot to think about, I don't know, let's do it.
0	8	0	8	 (light music) All right, we did it, finished my nail appointment, went for like a little white chrome.
1	8	1	8	 Oh, I was at a red light but it's moving now so I'm not gonna look at the camera.
0	9	0	9	 But now I am headed back to my house.
0	9	0	9	 I'm gonna relax for a little bit.
0	9	0	9	 Some cramps are setting in and they're pretty bad, honestly.
0	9	0	9	 I'm just gonna rest for a little bit and then we're taking Layla to the vet at five o'clock.
1	9	1	9	 So busy day, a lot busier than I would like.
0	10	0	10	 I don't know how people do this and how they balance it all but I am trying to get everything done before the trip and I am starving so we're gonna go home and make some lunch, I can't wait.
0	10	0	10	 We're back home, I got a couple of packages.
0	10	0	10	 It is not a complete week for me if I don't open a package from Poshmark, I'm so addicted to like searching for everything on Poshmark or even ThredUP.
0	10	0	10	 I love it so much.
1	10	1	10	 So this is one of my Poshmark packages.
0	11	0	11	 (siren blares) Hold on, got the door open 'cause it's nice out.
0	11	0	11	 So here is one of the things that I wanted to get for Tokyo.
0	11	0	11	 It might be a little too warm to wear to Tokyo but it's really cute anyways, look at it.
0	11	0	11	 Ah, it's really thick.
0	11	0	11	 - [Drew] It's supposed to be raining.
0	11	0	11	 - Oh okay.
1	11	1	11	 - [Drew] Quite a bit, so...
0	12	0	12	 - Maybe it will be kind of chilly.
0	12	0	12	 This is so cute, it's by the brand Just Polly but I got it secondhand and look at it, it's so cute.
0	12	0	12	 I love the teddy bears, not just my tattoo.
0	12	0	12	 It's a lot thicker than I thought.
0	12	0	12	 If I don't end up finding somewhere to wear it I'll just resell it all.
0	12	0	12	 - [Drew] Just wear it when we're in Osaka and Kyoto because it's colder down there, it's cloudy and rainy.
0	12	0	12	 - Oh there we go, this next one, is this from Poshmark too?
0	12	0	12	 Yes, oh my god, this is false advertising.
1	12	1	12	 They said this sweater was blue, it's gray, it's cute though, I was gonna wear this with, it smells like smoke.
0	13	0	13	 Okay, well anyway, I wanted to get like a cute Tommy sweater and I didn't wanna buy a new one.
0	13	0	13	 I wanted to like, I always try to look secondhand and this one is cute but it said it was navy blue and it's gray.
0	13	0	13	 Maybe I misread it so we'll see about that one.
1	13	1	13	 That one also needs to be washed.
0	14	0	14	 And then I don't remember who I first saw talking about this, but this is a brand called Ceremonia.
0	14	0	14	 It's fitting 'cause you know I went to the dermatologist today and was talking about like my scalp and stuff and this is like a scalp oil and I ran out so I got a new one and you basically like put it on your scalp to hydrate it and you leave it on either like for 10 to 15 minutes or you can even leave it on for like overnight.
0	14	0	14	 And then you shampoo your hair afterwards and it's called, Aceite de Moska, I'm not sure if I said that right but like look at this packaging, so cute.
0	14	0	14	 I saw people recommending it on Instagram and like look at that, adorable.
0	14	0	14	 And then it just comes in this little plastic bottle.
0	14	0	14	 It smells divine.
0	14	0	14	 Drew is obsessed with the smell of this too.
0	14	0	14	 Oh it smells so good.
1	14	1	14	 So I'm gonna start being a lot better about oiling with my scalp because it's really dry and I think that's what's causing the irritation.
0	15	0	15	 At least that's what the dermatologist said.
0	15	0	15	 She basically said like to do a couple of topical things first just to like get those out of the way and then maybe she'll order some blood work so we can see if something else is going on like a deficiency or whatever.
0	15	0	15	 But yeah, that's my little mini haul.
0	15	0	15	 Okay I need to make some lunch, do a couple work things and then get ready to take Layla to the vet here in a few hours.
0	15	0	15	 But yeah, here's what my nails look like.
0	15	0	15	 Super cute, chrome, shiny, just simple for Japan, and Taylor Swift, I can't believe it, but we got a lot to do so we'll reconvene later.
0	15	0	15	 It's a couple days later and it is a very exciting day in another installment of vacation prep.
0	15	0	15	 And I am changing my hair color today and I'm very excited.
1	15	1	15	 I'm actually going to, oh god, dog hair, cute.
0	16	0	16	 I'm actually going to do a scalp oil treatment 'cause I am getting my hair done today.
0	16	0	16	 and also, I don't know one time a hair stylist that I used to have said that she really preferred when her clients would come in with like clean hair.
0	16	0	16	 I'm just gonna go ahead and wash it even though it's getting washed later.
0	16	0	16	 I don't know, I just want to I just wanna do the right thing so I'm using some of this oil that I opened actually earlier in this vlog.
0	16	0	16	 And like literally what I do is I just do that pretty much and then I rub it into my scalp.
0	16	0	16	 I'm almost out of this bottle so I'm not sure if I need to use the new one or not but I kind of just go wherever my heart takes me.
1	16	1	16	 I'm gonna try to be more diligent about this and try to use it a lot more frequently.
0	17	0	17	 I need to take my hair down for this.
0	17	0	17	 I'm not gonna start that prescription that the dermatologist gave me until after we get back from our trip 'cause I don't know, I don't wanna have a reaction or like have something go wrong.
0	17	0	17	 So it's mostly like the top part of my head that's irritated so that's just what I'm gonna focus on.
0	17	0	17	 And then I'm gonna leave this on for like, I don't know, while I make my breakfast, to do a couple things and then I'm gonna jump in the shower and wash it out.
0	17	0	17	 I'm just gonna make sure I shampoo my scalp really good.
0	17	0	17	 Sometimes I leave this overnight or I'll leave it like all day long, well there's a look.
0	17	0	17	 That is all I do so just brushed it through.
0	17	0	17	 Usually I would do like some Olaplex on my ends or something but I will be getting like protein treatments from I almost said the vet, from the hair stylists today.
0	17	0	17	 So there we go, I'm going to get nice and oiled up.
1	17	1	17	 Just try to hydrate my scalp the best I can.
0	18	0	18	 Speaking of the vet though Layla's vet appointment went great.
0	18	0	18	 Long story short, she we were giving her a bath this weekend.
0	18	0	18	 I'm gonna make my breakfast while we chat but we were giving her a bath this weekend and she shook her head really hard and the poor thing just can't catch a break.
1	18	1	18	 She gave herself what's called a hematoma on her ear which is essentially like cauliflower ear.
0	19	0	19	 We took her to the vet and the vet said that she could drain it but that it would just come back.
0	19	0	19	 So to really just kind of keep an eye on it she has some like anti-inflammatory meds, some pain meds in case and it'll like be eventually go away.
0	19	0	19	 But her little ear is gonna be like collapsed now which is kind of sad.
0	19	0	19	 But anyways, she's all good.
0	19	0	19	 Just another day in the life of Layla.
1	19	1	19	 I love that dog but my god, Drew and I were talking about this other day like how many like health things have come up in the last five years.
0	20	0	20	 She's torn her ACL and her meniscus and needed surgery for it, she's needed teeth pulled.
0	20	0	20	 She's had a surgery to remove a tumor on her eye.
0	20	0	20	 She's had a hematoma, she's had skin allergies, she's had UTIs, she has weight problems.
1	20	1	20	 She's been tested so many different times for so many different things.
0	21	0	21	 Diabetes, kidney issues, Cushing's Disease, she's had ultrasounds.
0	21	0	21	 I mean that's like eight or nine things that I could think of just off the top of my head and that's literally in the last like four years, five years.
0	21	0	21	 I love her, there's nothing I won't do for her.
0	21	0	21	 We're so lucky that we're able to afford that and also that our vet is literally like 10 minutes away, that's incredible so I'm not complaining at all.
0	21	0	21	 I want to keep her around forever.
0	21	0	21	 The vet even said they were like, you know, despite her health issues and like not being able to figure out her weight issue, she's a really like decently healthy dog for a 12-year old.
