boundary-coarse	segment-coarse	boundary-fine	segment-fine	sentence
0	1	0	1	Good morning Hank!
0	1	0	1	It's Tuesday.
0	1	0	1	I really liked your video on Friday And I thought maybe today we could continue our discussion of failure by turning to the question of my new book!
0	1	0	1	So it's been almost five years since my most recent novel The Fault in our Stars was published.
0	1	0	1	Why nothing new since then?
0	1	0	1	Well in my case because a very public success happened to coincide with the series of very private failures.
0	1	0	1	The Fault in our Stars was my fourth novel but the experience of publishing it was VASTLY different from everything that came before.
0	1	0	1	Like for context in the week after it was published, The Fault in Our Stars sold more hardcovers than my three previous novels had ever sold, COMBINED!
0	1	0	1	Which to be clear was wonderful news!
0	1	0	1	But at the same time I was hard at work on this new book about teenage identity thieves because you know that's what I did after publishing a book, I wrote a new one!
1	2	1	2	But it wasn't working.
0	2	0	2	Now partly the concept itself was flawed.
0	2	0	2	I've always wanted to write a proper thriller, but I'm not good at writing any of the proper thriller stuff.
0	2	0	2	You know like I'm not great at action scenes or knowing how guns work or or plot!
0	2	0	2	But also I started to feel this intense pressure, like people were watching over my shoulder as I was writing.
1	3	1	3	By April of 2012 I ditched most of the identity thieves story and re-imagined it as a story about two boys who find something terrible while exploring storm drains in their little hometown.
0	3	0	3	I wrote about a hundred pages of that over the next few months, but none of it was ever very good though.
1	4	1	4	Meanwhile, The Fault in Our Stars continued to sell and in May of that year I read an amazing screenplay adaptation of the book, at which point I realized it might actually become a movie!
0	4	0	4	And somewhere in that period my job stopped being 'person who writes books', which is a present tense job title, and became 'person who wrote that one book', which is a past tense job title.
0	4	0	4	"Like, I remember one night my best friend Chris saying to me ""It must be weird getting all this money for something you did at Starbucks a couple years ago""."
0	4	0	4	And it was weird. I was elated and grateful that The Fault in Our Stars was reaching so many readers But at the same time I was terrified because I felt like I could never follow it up!
0	4	0	4	By the time the movie started shooting in the fall of 2013, I was failing to write a new book this one about teenage con artists.
1	5	1	5	I spent almost a year on that one, before eventually giving up.
0	5	0	5	I remember being in a hotel room right after the movie came out, looking at these hundreds of pages as I realized they would never be a book and just sobbing!
0	5	0	5	Now I wanna be clear that these are high class problems I am very grateful to have.
0	5	1	6	But I also wanna be honest about the fact that they are problems.
0	5	0	6	Writing had always been a safe and sane way for me to pour out my obsessiveness and recursive thinking.
0	5	0	6	But then suddenly it just didn't provide that release anymore and I realized you know, that I... I could STOP.
0	5	0	6	Writing had become kinda miserable and as I devoted more of my time to Crash Course and The Art Assignment I realized I have amazing work that I am so lucky to do!
0	5	0	6	I missed writing but in a way you miss someone you used to love.
0	5	1	7	And then about a year ago I went back to it.
0	5	0	7	I started writing something just for fun.
0	5	0	7	"I kept saying that to Sarah, ""I'm just writing this for fun. I'm just writing this because I think you'll like it""."
0	5	0	7	But of course those turn out to be pretty good reasons to write!
0	5	0	7	Still though, this is all kinda hard to talk about because the usual arch of these narratives is I had some failure, but then I plowed through and found greater success than ever!
0	5	0	7	And I'm not at all sure that's how this story will end.
0	5	0	7	I don't know if I'll ever publish another book.
0	5	0	7	And if I do, I don't know whether people will like it.
0	5	1	8	I know they probably won't like it as much as they liked The Fault in Our Stars.
0	5	0	8	I hope I finish the book I'm working on.
0	5	0	8	I hope you like it.
0	5	0	8	But I don't know.
0	5	1	9	But I think what changed is that I got okay with not knowing.
0	5	0	9	I used to be so certain.
0	5	0	9	I used to have all these unshakable beliefs about books, and writing, and how to be a writer.
0	5	0	9	Now my beliefs aren't just unshakable, they're shaken.
0	5	0	9	That feels uncomfortable, but also productive, I think.
0	5	0	9	Hank, I got to get back to writing.
0	5	0	9	I'll see you on Friday!
