boundary-coarse	segment-coarse	boundary-fine	segment-fine	sentence
0	1	0	1	(soft upbeat music) - Good morning everyone, welcome back to another vlog.
0	1	0	1	We are starting in the car again.
0	1	0	1	I think this is the first time I've talked today.
0	1	0	1	Actually, I said bye to Drew, so that's not true.
0	1	0	1	But I am in the car right now on my way back to Orange County, which is I think where you saw me in the last vlog maybe when I went to Laguna to see Sierra.
1	1	1	1	But I'm actually headed to Santa Ana this morning to go to the Goodwill bins with Alexa and Karina.
0	2	0	2	I haven't been to these bins since probably like December of 2019 I wanna say, so it's been a few years and I'm excited.
0	2	0	2	Usually you can find really good stuff and we're gonna be filming thrifting videos, so that'll be really fun.
0	2	0	2	This lighting is great.
0	2	0	2	Ideal, honestly.
0	2	0	2	It is about 7:20 in the morning, so it is very, very early, but we wanna make sure we get there with enough time.
0	2	0	2	And then also later today, Alexa and I are having a FaceTime with Jasmin, so we're gonna catch up with her, so that'll be fun.
0	2	0	2	While we're together, we figured that would make the most sense.
0	2	0	2	So yeah, that is - oh my god.
0	2	0	2	It is so windy in LA it's actually kind of scaring me.
0	2	0	2	Last night I thought I heard someone outside my front door rustling in a bag or, I don't know, trying to do something, and it was just leaves.
0	2	0	2	It was leaves blowing around.
0	2	0	2	There were like these tiny little ones, so it just sounded funny.
1	2	1	2	Anyways, that is what I'm up to today.
0	3	0	3	And then maybe the girls and I will get some coffee or something afterwards before Alexa and I go back to her place.
0	3	0	3	And actually, it'll be my first time seeing her new place, which is crazy 'cause we always try to meet...
0	3	0	3	Either we'll meet at Disneyland, or we meet at the Rose Bowl, or we meet somewhere else.
1	3	1	3	And I actually haven't seen her place and she still hasn't even seen mine, that's crazy.
0	4	0	4	I'm excited to see Salem and Autumn, her kitties, and just get to hang out and have some friend time today.
0	4	0	4	So, let's do it.
0	4	0	4	All right, just made it to the Goodwill bins.
0	4	0	4	We are gonna head inside.
0	4	0	4	I filmed my intro, the lighting was ass, whatever, what's new?
0	4	0	4	I brought some gloves, I brought my reusable bags.
0	4	0	4	I'm gonna put my debit card in my pocket and then I'm gonna film on my phone because they are very, very particular about people filming with cameras, so let's see what happens.
0	4	0	4	Let's do it.
0	4	0	4	Maybe we'll get kicked out again today, who knows?
1	4	1	4	I can't remember if I mentioned that, but we definitely got asked to leave here once before for filming, but we've since gotten a contact at Goodwill, so I think we'll be okay.
