boundary-coarse	segment-coarse	boundary-fine	segment-fine	sentence
0	1	0	1	Day 1 Today is the day of my long-awaited cruise trip.
0	1	0	1	This time I will be on board the Royal Caribbean's Anthem of the Seas.
0	1	0	1	It will depart from Singapore's Marina Bay Cruise Center and head for Penang, Malaysia, on a 3night 4days cruise.
0	1	0	1	I'm so exited...!
0	1	0	1	When you arrive at the port, you will leave large luggage such as suitcases before check-in.
0	1	0	1	Your luggage will be carried to the front of your room later.
0	1	0	1	You can bring a carry-on case on your own.
1	2	1	2	I waited for while after checked in You can specify your check-in time up to 45 days before your trip, so I recommend you to specify your check-in time early.
0	2	0	2	The earlier you arrive, you can spend on the ship more.
0	2	0	2	I didn't research it properly.
0	2	0	2	So I realized a week before the trip.
1	3	1	3	That's why my check in time was at 12:00.
0	3	0	3	I checked in at the port at 12:00 and boarded the ship around 1:00 pm.
0	3	0	3	Before boarding the ship, I handed my passport to the staff here.
0	3	0	3	The passport was returned before disembarking in Penang on the second day.
0	3	0	3	Let's on board the ship!
0	3	0	3	First, we took an emergency lecture at a designated location.
0	3	0	3	The ceiling is high and spacious...
0	3	0	3	I can't believe this is inside a ship!
0	3	0	3	After that, we headed to the kids space called Adventure Ocean to register.
0	3	0	3	My son hasn't taken off his diaper yet, so the staff told us the playroom is different from his sister we didn't use it this time.
1	4	1	4	still have to wait until the room is ready.
0	4	0	4	I have time to look around the ship.
0	4	0	4	I'm gladthe rain has stopped!
0	4	0	4	This is kids area.
0	4	0	4	There is also an indoor pool.
0	4	0	4	It was nice to be able to use the pool even when it was raining or sunny and too hot.
1	5	1	5	The room is ready!
0	5	0	5	This time I will be staying in a room with a balcony on the 11th floor.
0	5	0	5	This room key has become necessary in many situations such as renting a towel at pool or buying drink wow!
0	5	0	5	There are 1 bed and 1 sofa bed, spacious enough for 2 adults and 2 children (3 and 5 years old) Nice!
0	5	0	5	Looking down from the balcony, the scenery is like this: There are a pot and two cups, a small refrigerator, and these 4 bottles of water are free (from after these 4 bottles, you have to pay).
1	6	1	6	There are child's bands on the bed.
0	6	0	6	These are essential.
0	6	0	6	The closet has enough hangers for a family of four.
0	6	0	6	There were another closet, and there is a security box inside.
0	6	0	6	Let's have a look the bathroom.
0	6	0	6	There was a soap but no toothbrush, so be sure to bring your own.
1	7	1	7	There is also body soap in the shower room.
0	7	0	7	After put our luggage, we went to the pool.
0	7	0	7	My kids enjoyed a lot at kids area rolling...
0	7	0	7	After playing a lot, we went to have dinner We made a reservation for dinner from 5:00pm.
0	7	0	7	Where is our table...?
0	7	0	7	nice view!
1	8	1	8	I'm so happy Thank you ♥️
0	8	0	8	The adult menu is like this the appetizers, main dishes, and desserts change every day.
0	8	0	8	The kids menu has 2 appetizers and desserts, and about 3 choices for the main, and the menu was the same for all 3 days of the trip.
0	8	0	8	The same person was in charge of our table throughout the cruise.
0	8	0	8	You can watch a show every night on the cruise.
0	8	0	8	This day's show was about hero my kids were very interested.
0	8	0	8	After the show, we took a walk on the rooftop Royal Caribbean has animals on the each ships.
0	8	0	8	There were pandas on the ship.
0	8	0	8	you can do skydiving Also surfing too.
0	8	0	8	He's a bit scared because we can see the bottom.
0	8	1	9	Until when will he hold my hand like this?
0	8	0	9	Breakfast was at the same venue as last night But there are no fixed seats in the morning.
0	8	0	9	I like buffet as well but that day we decided to come here.
0	8	0	9	After the breakfast, went to pool we passed another company's cruise ship.
0	8	0	9	I want to ride another cruise ship someday.
0	8	0	9	We arrive at Penang.
0	8	0	9	The ship will be anchored from 3:00pm to 11:00pm.
0	8	0	9	Thus time, we were just relax on the ship.
0	8	1	10	After exercising at pool, went to restaurant I felt like I just keep eating...
0	8	0	10	After taking a rest in my room, we walked around the ship before dinner.
0	8	0	10	My daughter told me that there was a beautiful sunset through the screen, it's not so nice but it was very beautiful.
0	8	0	10	"My son believes the door will open if he say ""open sesame""😂♡"
0	8	0	10	robots will make a cocktail for you we went to Wonderland to have dinner.
0	8	1	11	There were a lot of exciting features not only for children but also for adults.
0	8	0	11	We had good time.
0	8	1	12	If you wet your brush with water and trace paper, the menu will come out.
0	8	0	12	In the end, we couldn't decide which one to go for, so we ordered the waiter's recommendation.
0	8	0	12	There's also a kids menu Friendly staff ^^
0	8	0	12	Today's show is magic.
0	8	0	12	She was scary, but can't take her eyes off returned to my room, the cleaner had made a rabbit by a towel.
0	8	0	12	Unfortunately, it rained on the Unfortunately it was rain on the third day.
0	8	0	12	We went to buffet for this morning's breakfast we met the waiter who was in charge of dinner yesterday.
0	8	0	12	He made a flower bracelets from napkin.
0	8	0	12	She looks happy.
0	8	0	12	After breakfast, we participated in the kids activities.
0	8	0	12	Do decorate cupcakes.
0	8	1	13	First, they made roses and frogs for decoration Focusing...
0	8	0	13	You made nice one!
0	8	0	13	lunch at the stern of the ship, which was a comfortable place with a sense of openness.
0	8	0	13	Last dinner.
0	8	0	13	After dinner, we watched the last show and packed luggage.
0	8	0	13	If you take your luggage out in front of your room by the designated time, you won't have to carry it yourself the next morning.
0	8	0	13	On the last day, there were a lot of people in the elevator, so I recommend to prepare your luggage before the checked out day.
0	8	0	13	Day 4 Time flies!
0	8	0	13	Disembarkation was very smooth and we left our room before 8am and took a taxi from the port around 8:30.
0	8	0	13	Traveling with children can be tiring just transport, but on a cruise you can enjoy a variety of shows and activities while you're on the traveling and when you get tired, you can take a quick break in your room.
0	8	0	13	It was really good.
