boundary-coarse	segment-coarse	boundary-fine	segment-fine	sentence
0	1	0	1	Berlin is Germany's capital and biggest city.
0	1	0	1	Within the city limits, Berlin in 2022 had a population of 3.7 million.
0	1	0	1	Berlin is coming into its own again as a cosmopolitan capital of one of Europe's wealthiest nations.
0	1	0	1	Arm aber sexy (poor but sexy) as a former mayor would have it, Berlin attracts young people, students and a creative bohème like few other cities in the world.
0	1	0	1	"With architectural heritage from Prussian monarchism, Nazism, East German communism and Potsdamer Platz, filled with 1990s and 2000s-style glass palaces after having been a ""blank canvas"" due to the wall, Berlin's architecture is as varied as its neighbourhoods and its people."
1	1	1	1	And due to its long history as a cosmopolitan capital, it has attracted immigrants from all over the world for more than 300 years now, who continue to leave their own marks on the city.
0	2	0	2	Berlin is home to world-renowned universities, orchestras, museums, and entertainment venues, and is host to many sporting events.
0	2	0	2	Its Zoological Garden is the most visited zoo in Europe and one of the most popular worldwide.
1	2	0	2	The city is well known for its festivals, nightlife, contemporary arts and a very high quality of living.
0	3	0	2	Berlin can be seen as a cluster of centres.
0	3	0	2	Berlin has many boroughs (Bezirke), and each borough is composed of several localities (Kiez or Viertel) — each of these boroughs and localities has a unique style.
0	3	0	2	Some boroughs of Berlin are more worthy of a visitor's attention than others.
0	3	0	2	Berlin used to be divided into 23 boroughs, and these boroughs are used in Wikivoyage as they remain foremost in popular conceptions of the city and are useful for visitors to know.
0	3	0	2	In 2001, the number of boroughs was reduced from 23 to 12 for administrative purposes—mostly by merging old boroughs—sometimes across what was the inner-Berlin border.
0	3	1	2	The boroughs can roughly be grouped into eight districts:
1	3	0	3	The city of Berlin is co-extensive with the Land of Berlin, one of the 16 federal states that make up the Federal Republic of Germany.
0	4	0	3	It has a population of 3.8 million (2019) (and a million more in suburbs like Potsdam across the state line in Brandenburg).
0	4	1	3	Berlin is and has been far less dominant as the capital of Germany than London, Paris or Madrid are in their respective countries, because of the federal nature of Germany and because the havoc war and partition wreaked on the city.
1	4	0	4	Merely a backwater town in the early 18th century, Berlin grew to be one of the most important and biggest cities in the world by the 1920s.
0	5	1	4	The heart of old Prussia and a focal point of the Cold War, it lost much of its importance and historic architecture as a result of World War II and German partition.
0	5	0	5	Berlin is a world city of culture, politics, media and science.
0	5	0	5	Its economy is based on high-tech firms and the service sector, a diverse range of creative industries, research facilities, and media corporations.
0	5	0	5	Significant sectors also include IT, biotechnology, construction and electronics.
0	5	0	5	With the world's oldest large-scale movie studio complex in nearby Babelsberg, Berlin is an increasingly popular location for international film productions.
0	5	0	5	The area was most likely first settled by Slavs before German-speaking immigrants arrived in the 11th and 12th centuries.
0	5	0	5	The earliest evidence of settlements in the area of what is now Berlin are a wooden rod dating from approximately 1192 and remains of wooden houses dated to 1174 which were found in a 2012 excavation in Berlin Mitte.
0	5	0	5	The first written records of towns in the area of present-day Berlin date from the late 12th century.
0	5	1	5	Spandau is first mentioned in 1197 and Köpenick in 1209, although these areas did not become part of Berlin until 1920 (see below).
0	5	0	6	The nucleus of Berlin was two towns: Berlin (now known as the Nikolaiviertel close to Alexanderplatz), which began as a Slavic town, and Cölln, which was Germanic in origin, which included what has today become the Museum Island.
0	5	0	6	"While the etymology of ""Berlin"" is not fully clear (the bear in the coat of arms is due to an understandable wrong assumption medieval German speakers made) it is likely linked to a Slavic word for swamp."
0	5	0	6	So yes, Germany's capital was literally built in a swamp.
0	5	1	6	The year 1237 (first mention of Cölln in official records) is what was used as the basis for the 750-year celebrations in 1987, and it'll likely be used as the reference point for future anniversaries.
0	5	0	7	The area became known as Berlin-Cölln and was a residence for the electors of Brandenburg, but it remained a relatively small trading post.
0	5	0	7	Roughly half of Berlin's inhabitants perished as a result of the Thirty Years' War (1618-1648).
0	5	0	7	The war led to a signature Hohenzollern policy of allowing and even encouraging religious refugees to immigrate to the area.
0	5	1	7	"The policy was promulgated by ""great elector"" Frederic William (Friedrich Wilhelm, reigned 1640-1688), who also consolidated the trend of ruling Prussians to be called Friedrich, Wilhelm or both, which lasted all the way to the last German Kaiser Wilhelm II."
0	5	0	8	Berlin became the capital of Prussia in 1701, but Potsdam remained a symbol for Hohenzollern rule into Weimar times.
0	5	0	8	In 1710 several independent towns were merged into Berlin, helping to give it the polycentric layout it still has.
1	5	0	8	"The Prussian leaders of the 18th century were known for their ""enlightened despotism"" and an amount of religious toleration far beyond that found in other parts of Europe at the time."
0	6	1	8	Those policies benefited all of Brandenburg/Prussia but they had their strongest impact on Berlin.
0	6	0	9	The German Empire (Deutsches Reich) was formed in 1871 under Prussian dominance and Berlin became the capital of this newly-united Germany.
0	6	0	9	It grew quickly as the political capital and as a centre of industry.
1	6	0	9	Between 1877 and 1900, its population grew from 1 million inhabitants to 1.9 million.
0	7	1	9	In 1884-1885, the Berlin was the location of the Berlin Conference, in which the great powers, namely Austria-Hungary, Belgium, Denmark, France, Germany, Italy, the Netherlands, the Ottoman Empire, Portugal, Russia, Spain, Sweden, the United Kingdom and the United States, met to divide Africa among themselves.
0	7	0	10	In 1918, it was in Berlin that many of the most decisive events of the German November Revolution to overthrow the Kaiser took place.
0	7	0	10	Philipp Scheidemann, a Social Democrat, declared a republic from a window of the Reichstag on 9 November 1918.
1	7	0	10	"Just hours later, communist Karl Liebknecht declared a ""free socialist republic"" leading to a schism between the Social Democrats and Communists, who were already at odds in 1914 over the question of whether to support World War I."
0	8	1	10	Berlin became one of the centres of fighting and chaos.
0	8	0	11	The split continued throughout the Weimar Republic period.
