boundary-coarse	segment-coarse	boundary-fine	segment-fine	sentence
0	1	0	1	Auckland (Maori: Tāmaki Makaurau) is the largest city in New Zealand at 1.7 million citizens, and the main arrival point for visitors to the country.
0	1	0	1	It is a vibrant multicultural city, set around two big natural harbours, and ranked as one of the most liveable cities in the world.
0	1	0	1	It is in the warm northern part of the North Island, on a narrow isthmus that joins the Northland peninsula to the rest of the island.
1	1	0	1	For information on the smaller towns, settlements and islands in the wider area around the city, see the Auckland Region article.
0	2	0	1	Until 2010, the Auckland urban area was divided between four city councils and three district councils.
0	2	0	1	"In November 2010, the councils merged into a single ""super city"" council."
0	2	1	1	The districts here are based on Statistics New Zealand's four Auckland urban sub-areas, which in turn are based on the four erstwhile city councils.
0	2	0	2	Auckland is New Zealand's largest city, home to 1.5 million people, nearly one-third of the country's population and more than that of the entire South Island.
0	2	0	2	It is the main economic and travel hub and home to an international airport.
0	2	0	2	It's lucky enough to have its own beautiful landscapes, waterways, and other attractions to draw tourists in.
0	2	0	2	It is not New Zealand's political capital though – that honour goes to Wellington.
1	2	1	2	Auckland is by some measures the most isolated city of over 1 million people in the world; the nearest city of over 1 million people is Sydney, 2,160 km across the sea in Australia.
0	3	0	3	"Auckland is called the ""City of Sails"" for the large number of yachts that grace the Waitemata Harbour and the Hauraki Gulf, and for the city's love of sailing."
0	3	0	3	More than 135,000 yachts and launches are registered in Auckland and several America's Cup regattas have been held here.
0	3	0	3	"Auckland could also be called the ""City of Volcanoes""; much of its natural character comes from being built on the Auckland Volcanic Field, which consists of about 50 volcanoes."
0	3	0	3	All of them are individually extinct (Rangitoto was the latest to erupt, in the mid to late 15th century), but the volcanic field as a whole is not.
0	3	1	3	The city also features a large number of urban beaches and parks, numerous arts and cultural institutions and events, and is home to a multitude of sporting teams.
0	3	0	4	Auckland is frequently ranked highly in international quality-of-life polls, including third in Mercer's Quality of Living Ranking (behind Vienna and Zurich).
0	3	0	4	However, Auckland is also New Zealand's most expensive city – house prices alone are double to triple those found in Wellington, Christchurch and Hamilton (the latter 130 km away).
0	3	0	4	Alias Wang and Li
