boundary-coarse	segment-coarse	boundary-fine	segment-fine	sentence
0	1	0	1	Good Morning John, There have been a bunch of times over the last few weeks when this has become more and more real, this is the big one though.
0	1	0	1	So, I noticed that my lymph nodes were big.
0	1	0	1	I talked to my doctor, she said it was probably nothing, we’ll send you in for an ultrasound.
0	1	0	1	Got an ultrasound.
0	1	0	1	The tech in the ultrasound room was like, I’m gonna go get a doctor.
0	1	0	1	(laughs) That’s not what you want to have happen.
1	2	1	2	Um, she was great, the tech and so was the doctor.
0	2	0	2	And they were like, this looks like it could be suspicious uhh, for lymphoma and we’ll get you in for a biopsy.
0	2	0	2	And then I took the order for the surgery and like the paperwork down to the surgery office and I like gave it to the woman in the window And she’s like ooh!
1	3	1	3	Hand delivery!
0	3	0	3	And I was like, well yeah, the surgery’s tomorrow.
0	3	0	3	And she’s like oh, procrastinator.
0	3	0	3	And I was like, well no, it just got scheduled just now.
0	3	0	3	And then like, foonk.
0	3	0	3	Her eyes changed.
0	3	0	3	It’s like, when you’re in the  American Health Care System.
0	3	0	3	You don’t expect things to move quick Like, that’s not what it, that’s not what it does That’s not what it looks like.
0	3	0	3	And when it starts to get a little bit efficient It’s actually quite disconcerting.
0	3	0	3	I’ve seen that so many times and it doesn’t look like that!
0	3	0	3	What’s happening right now.
0	3	0	3	It’s like seeing a horse that has hands.
0	3	0	3	It’s just not.
0	3	0	3	That’s very upsetting.
1	4	1	4	Like, its good, I’m glad everybody's  taking things seriously right now.
0	4	0	4	So her eyes change, and it’s like seeing a flight attendant on a plane that’s in the air running down the aisle.
0	4	0	4	Like, that can’t be good.
0	4	0	4	Either somebody or everybody’s  having a very bad day.
0	4	0	4	Cause I don’t know all the noises a plane makes.
0	4	0	4	And I don't know all the ways the healthcare system works.
0	4	0	4	But you do!
0	4	0	4	Diagnosis And you look like something is weird.
1	5	1	5	I already knew it was weird though.
0	5	0	5	Everybody has been great and very supportive, but biopsy, uh, good news bad news.
0	5	0	5	One it’s cancer, it’s called lymphoma.
0	5	0	5	It’s a cancer of the lymphatic system.
0	5	0	5	And good news, is it’s something called Hodgkin's lymphoma.
0	5	0	5	It’s the most treatable– like one of the most treatable cancers.
0	5	0	5	It responds very well to treatment.
1	6	1	6	The goal is cure.
0	6	0	6	The procedure to get there is fairly well known if unpleasant.
0	6	0	6	I have a friend.
0	6	0	6	Amazingly enough, who has been through a diagnosis and treatment, and remission and is ten years post with Hodgkin's Lymphoma.
0	6	0	6	It’s been really nice to  have that in my back pocket.
0	6	0	6	For texting and being like, is this normal?
0	6	0	6	And, am I panicking?
0	6	0	6	And, please tell me I’m gonna be ok.
0	6	0	6	But the treatment is fairly well established Like, system of chemotherapies.
0	6	0	6	Which I’m gonna start very soon.
0	6	0	6	Um, not looking forward to it, I’m looking forward to starting on the path.
0	6	0	6	Yeah, prognosis is very good for people with Hodgkin’s Lymphoma.
0	6	0	6	It seems likely that we caught mine early.
1	7	1	7	I’m still waiting on a scan  to sort of confirm that.
0	7	0	7	But even when it’s not super early.
0	7	0	7	Even when it's in multiple parts of the body.
0	7	0	7	Hodgkins is super treatable  like solid mass tumors.
