boundary-coarse	segment-coarse	boundary-fine	segment-fine	sentence
1	1	1	1	 - Good morning everybody, welcome to another vlog from my bathroom where I am frantically trying to get ready for something that I probably should have gotten ready for a while ago.
0	1	1	2	 It's actually just shy of 8:00 AM.
0	1	0	2	 I literally woke up at like 7:20.
0	1	0	2	 Who am I?
0	1	0	2	 Usually I have Layla outside by like 6:45 in the morning.
0	1	0	2	 I just stayed up late reading last night.
0	2	1	3	 But today I am actually doing a bunch of prep stuff to be going out of town in a bit.
0	2	0	3	 So I'm going to get a last minute dermatology appointment in this morning.
0	2	0	3	 We'll chat and then I'm also gonna be getting my brows done and then after that I'm getting my nails done.
0	2	0	3	 And yes, in case you didn't notice when I have a trip planned it's all I talk about for months leading up to it.
0	2	0	3	 I'm just doing some quick like beach waves in my hair.
0	2	1	4	 I was gonna walk to this appointment but I think I'm just gonna end up driving.
0	2	0	4	 I don't know, it's a really nice morning.
0	2	0	4	 The weather has been so on and off in LA.
0	2	0	4	 It's been raining and then beautiful and then raining and then beautiful and like we've gotten proper rain this winter.
0	2	0	4	 Feels like it's rained nonstop since like late December.
0	2	0	4	 Kind of crazy.
0	2	1	5	 But yeah, if you didn't know, I am flying to Arizona to go see Taylor Swift and (inaudible) oh my god.
0	2	0	5	 And then heading back to LA, packing everything up and going to freaking Japan.
0	2	0	5	 We talked a little bit about it in December when we booked it and it's been kind of touch and go with Layla's Health.
0	2	0	5	 Like we've kind of been like, are we going?
0	2	0	5	 Are we not going?
0	2	1	6	 One of the things on my to-do list is to book Layla another vet appointment this morning, but she's gonna be fine.
0	2	0	6	 It's just life of a senior pet and yeah I can't believe we're really doing it.
0	2	0	6	 I'm so excited, we're going for 10 days and we're going with some of our friends, one of my friends from high school and her husband who we have grown really close with over the years of living in LA and not living in LA.
0	2	1	7	 Anyway, just wanted to start this vlog and say hi and say good morning.
0	2	0	7	 Oh, my god, I've been talking for almost five minutes.
0	2	0	7	 No, I must lose my access to a camera for a little bit.
1	3	1	8	 All right, hair is done.
0	3	0	8	 Just did a quick little beach wave moment.
0	3	0	8	 I'm not wearing makeup 'cause I'm going to the dermatologist and then I'm also, like I said going to the brows after that so there's no point.
0	3	0	8	 But I am running late so let's run over to our appointment and then we'll catch up after.
0	3	0	8	 I'm breaking in a new pair of Converse today for my trip so pray for my feet.
0	3	1	9	 (light music) All right, just finished at the derm, that was great.
0	3	0	9	 I actually ended up getting a Botox touch up while I was there, so I was like why not?
0	3	0	9	 And then I the reason I went was to get some moles checked just for like regular checkups 'cause that's important.
0	3	0	9	 Do that, make sure, especially if you have skin cancer in your family.
0	3	0	9	 And then I also went because I have been I think I've talked about this periodically on my channel but I have a really dry scalp and it itches.
0	3	0	9	 I don't really have a lot of dandruff, a little bit, occasionally, but it just itches so much and I've talked about it before and a lot of you recommended the Nizoral shampoo.
0	3	0	9	 I've used that off and on for like a year and it's done nothing.
0	3	0	9	 So I was like, I need to see a dermatologist about this.
0	3	0	9	 She looked at my scalp, she said some of it is irritated but there actually isn't like dandruff, like a lot of like flakiness.
