boundary-coarse	segment-coarse	boundary-fine	segment-fine	sentence
0	1	0	1	 We are going to my grandmother in Kuybyshev.
0	1	0	1	 It's -15°C.
0	1	0	1	 Frosty.
0	1	0	1	 As you already heard, we are going to Kuybyshev.
0	1	0	1	 This is a city that is located four hours from Novosibirsk, the capital of Siberia.
0	1	0	1	 I have several videos about Novosibirsk.
0	1	0	1	 If you haven't watched them, the links will be in the description.
0	1	0	1	 My dad was born in Kuybyshev, and now we are going there to visit my grandmother.
0	1	0	1	 In this video I will tell you a little about Siberia and Kuybyshev.
1	1	1	1	 I will post links to sources on my website.
0	2	0	2	 What do you know about Siberia?
0	2	0	2	 Many people imagine Siberia as a harsh and cold land.
0	2	0	2	 But, of course, snow does not lie here all year round - only in winter, autumn and spring.
0	2	0	2	 Sometimes snow falls even in May.
0	2	0	2	 Now I'm talking about Western Siberia, the place where I was born.
0	2	0	2	 The Siberian Khanate became part of the Russian kingdom in 1555.
0	2	0	2	 Tsar Ivan the Terrible sent here a Cossack detachment of 800 people led by Yermak in 1581.
1	2	1	2	 Regular Cossack hundreds were well trained and quickly captured the capital of the Siberian Tatars - the city of Isker.
0	3	0	3	 And after that, over the course of 15 years, the Russians founded several fortress cities in these Siberian lands.
0	3	0	3	 Tyumen was founded in 1586, Tobolsk in 1587, and Surgut in 1593.
0	3	0	3	 Novosibirsk is a young city, this year it will be 130 years old.
0	3	0	3	 We got off the train and go to the minibus to get to Kuibyshev.
0	3	0	3	 We are now in Barabinsk.
0	3	0	3	 We arrived in Kuibyshev.
0	3	0	3	 The former name of the city is Kainsk.
0	3	0	3	 This is one of the oldest cities in Western Siberia, its history began with plans for the construction of the Siberian line of fortresses along the Irtysh river in the early 18th century.
0	3	0	3	 Three permanent Russian fortifications were built one after the other.
1	3	1	3	 This was due to the formation of Russian statehood and the protection of the eastern borders of Russia from the Tatar Siberian Khanate.
0	4	0	4	 So, according to the decree of Peter the Great, in 1722, Kainsky Pass (later - an outpost) arose, but in the middle of the 18th century it lost its military significance and turned into a settlement.
0	4	0	4	 The population of the settlement was made up of exiles from Russia, transferred coachmen, fugitive peasants, recruits, whose main activity was carting and handicraft production.
0	4	0	4	 In January 1782, Empress Catherine II signed a decree on the formation of the county town of Kainsk.
0	4	0	4	 So the first city appeared in the Baraba steppe, today it is the oldest holder of this status in the Novosibirsk region.
0	4	0	4	 The special position of Kainsk contributed to its rapid growth, the development of trade and crafts.
0	4	0	4	 This city appeared at the intersection of land and river trade routes and at the end of the 19th century it became a major economic and administrative center of Western Siberia.
1	4	1	4	 It was the only place in Western Siberia where there was a synagogue, a Roman Catholic church and Orthodox churches.
0	5	0	5	 In the center of Kuybyshev, you can see several merchant houses. Who is a merchant?
0	5	0	5	 This is a person who was professionally engaged in trade, buying up goods, not for their own consumption, but for subsequent resale for profit.
0	5	0	5	 So, this is an architectural monument - Lebedev's house, the second half of the 19th century.
0	5	0	5	 The first merchants appeared in Kainsk in 1801.
0	5	0	5	 Using the advantage of their geographical position, the merchants were actively trading in the city, province, throughout Russia and even abroad.
1	5	1	5	 Having received significant rights under the Charter to the cities of 1875, the merchants turned into a privileged layer of the townspeople and sought to stand out among the rest of the population with their way of life, focusing on European noble culture.
0	6	0	6	 Merchants' mansions were built on the central streets of the city.
