boundary-coarse	segment-coarse	boundary-fine	segment-fine	sentence
0	1	0	1	Paris, the cosmopolitan capital of France, is one of the largest agglomerations in Europe, with 2.2 million people living in the dense (105 km2) central city in 2022, 10 million people in the Métropole du Grand Paris (814 km2) and almost 13 million people living in the metropolitan area.
1	1	1	1	In the centre-north of the country on the river Seine, Paris has the reputation of being the most beautiful and romantic of all cities, brimming with historic associations and remaining vastly influential in the realms of culture, art, fashion, food and design.
0	2	0	2	Dubbed the City of Light (la Ville lumière) and Capital of Fashion, it is home to some of the world's finest and most luxurious fashion designers and cosmetics, such as Chanel, Christian Dior, Yves Saint-Laurent, Guerlain, Lancôme, L'Oréal, and Clarins.
0	2	0	2	A large part of the city, including the banks of the Seine, is a UNESCO World Heritage Site.
0	2	0	2	The city has the second highest number of Michelin-starred restaurants in the world (after Tokyo, which is much larger) and contains numerous iconic landmarks such as the Eiffel Tower, the Arc de Triomphe, Notre-Dame de Paris, the Louvre, the Moulin Rouge and the Basilique du Sacré-Cœur, making it one of the most popular international tourist destinations in the world, with around 14 million tourists annually.
0	2	0	2	The city of Paris is divided into 20 districts called arrondissements, numbered from 1 to 20 in a clockwise spiral from the centre of the city (which is known as Kilomètre zéro and is located at the front of Notre Dame).
0	2	0	2	Arrondissements are named according to their number.
0	2	0	2	"You might, for example, stay in the ""5th"", which would be written as 5e in French."
1	2	1	2	The 12th and 16th arrondissements include large parks: the Bois de Vincennes and the Bois de Boulogne respectively.
0	3	0	3	"The very best map you can get for Paris is called ""Paris Pratique par Arrondissement"" which you can buy for about €5 at any news stand."
0	3	0	3	It makes navigating the city easy.
1	3	1	3	The various tourist information centres and hotels in Paris also provide various city and metro maps for free and which contain all the essential details for a tourist.
0	4	0	4	Each arrondissement has its own unique character and selection of attractions for the traveller:
0	4	0	4	Beyond Paris, the outlying suburbs are called La Banlieue.
0	4	0	4	Schematically, those to the west of Paris (Neuilly-sur-Seine, Boulogne-Billancourt, Saint Cloud, Levallois, Versailles, Poissy, Rueil-Malmaison) are wealthy residential communities, even if some more middle class suburbs can be found.
0	4	0	4	Those to the north are poorer communities, and very ethnically diverse.
0	4	0	4	Those to the south are a mix of rough and poor neighbourhoods alongside very affluent communities.
0	4	0	4	Finally, those to the east are usually lower-middle class mingled with a few upper-middle class communities.
0	4	0	4	Due to high expectations, a tight schedule, language barriers and large crowds and long lines at certain attractions during high season, the city might disappoint some visitors.
0	4	0	4	Foreign visitors who have an idealized view of Paris might be shocked by the typical challenges of visiting any large city; crime, traffic noise, pollution, garbage, and relatively high costs.
0	4	0	4	In the worst case, visitors might experience the Paris syndrome; a psychological state of delusion.
0	4	0	4	To enjoy the wonders of Paris, make realistic plans.
0	4	0	4	The amounts of attractions and landmarks is overwhelming; visiting only the most famous ones (which can be overcrowded during major holidays) takes more than a week.
1	4	1	4	The city also has more to offer for people who take time for a calm stroll along the backstreets.
0	5	0	5	If your time in the city is short, be selective, and save some attractions for your next visit.
0	5	0	5	Paris started life as the Celto-Roman settlement of Lutetia on the Île de la Cité, the island in the Seine now occupied by the Cathédrale de Notre Dame.
0	5	0	5	It takes its present name from the name of the dominant Gallo-Celtic tribe in the region, the Parisii.
0	5	0	5	"At least that's what the Romans called them, when they showed up in 52 BCE and established their city Lutetia on the left bank of the Seine, in what is now called the ""Latin Quarter"" in the 5th arrondissement."
0	5	0	5	The Romans held out here for as long as anywhere else in the Western Empire, but by 508 CE they were gone, replaced by Clovis of the Franks, who is considered by the French to have been their first king.
0	5	0	5	Clovis' descendants, aka the Carolingians, held onto the expanded Lutetian state for nearly 500 years through Viking raids and other calamities, which finally resulted in a forced move by most of the population back to the islands which had been the centre of the original Celtic village.
0	5	0	5	The Capetian Duke of Paris was voted to succeed the last of the Carolingians as King of France, ensuring the city a premier position in the medieval world.
1	5	1	5	Over the next several centuries Paris expanded onto the right bank into what was and is still called le Marais (The Marsh).
0	6	0	6	Quite a few buildings from this time can be seen in the 4th arrondissement.
0	6	0	6	The medieval period also witnessed the founding of the Sorbonne.
1	6	1	6	"As the ""University of Paris"", it became one of the most important centres for learning in Europe—if not the whole world, for several hundred years."
0	7	0	7	Most of the institutions that still constitute the University are found in the 5th, and 13th arrondissements.
0	7	0	7	In the late 18th century, there was a period of political and social upheaval in France and Europe, during which the French governmental structure, previously a monarchy with feudal privileges for the aristocracy and Catholic clergy, underwent radical change to forms based on Enlightenment principles of nationalism, citizenship, and inalienable rights.
1	7	1	7	Notable events during and following the revolution were the storming of the Bastille 4th arrondissements, and the rise and fall of Napoleonic France.
0	8	0	8	Out of the violent turmoil that was the French Revolution, sparked by the still known Passion des Français, emerged the enlightened modern day France.
1	8	1	8	The Paris of today was built long after the Capetian and later the Bourbon Kings of France made their mark on Paris with the Louvre and the Palais Royal, both in the 1st.
0	9	0	9	In the 19th century, Baron von Hausmann set about reconstructing the city, by adding the long straight avenues and replacing many of the then existing medieval houses, with grander and more uniform buildings.
0	9	0	9	New wonders arrived during La Belle Époque, as the Parisian golden age of the late 19th century is known.
1	9	1	9	"Gustave Eiffel's famous tower, the first metro lines, most of the parks, and the streetlights (which are partly believed to have given the city its epithet ""the city of light"") all come from this period."
0	10	0	10	Another source of the epithet comes from Ville Lumière, a reference not only to the revolutionary electrical lighting system implemented in the streets of Paris, but also to the prominence and aura of Enlightenment the city gained in that era.
0	10	0	10	The twentieth century was hard on Paris, but thankfully not as hard as it could have been.
1	10	1	10	Both world wars took a heavy toll on the city's inhabitants, but at least Hitler's order to burn the city was ignored by the German General von Choltitz, who was quite possibly convinced by a Swedish diplomat that it would be better to surrender and be remembered as the saviour of Paris, rather than its destroyer.
0	11	0	11	Following the war, the city recovered quickly at first, but slowed in the 1970s and 1980s when Paris began to experience some of the problems faced by big cities everywhere: pollution, housing shortages, and occasionally failed experiments in urban renewal.
0	11	0	11	However, post-war Paris enjoyed considerable growth as a multi-cultural city, with new immigrants from all corners of the world, especially La Francophonie, including most of northern and western Africa as well as Indochina.
0	11	0	11	These immigrants brought their foods and music, both of which are of prime interest for many travellers.
1	11	1	11	Immigration and multi-culturalism continues in the 21st century with a marked increase in the arrival of people from Latin America, especially Mexico, Colombia, and Brazil.
0	12	0	12	In the late 1990s, it was hard to find good Mexican food in Paris, whereas today there are dozens of possibilities from lowly taquerias in the outer arrondissements to nice sit-down restaurants on the boulevards.
0	12	0	12	Nevertheless, Paris remains a French city; bistros, baguettes, high-end fashion, art, accordions, Hausmann architecture, and all the stereotypes (whether good or bad) of France are alive and well in Paris.
1	12	1	12	People from all over France flock to Paris for work, study, partying, and everything in between.
0	13	0	13	After all, this IS the capital of France, so anything pertaining to France can be found here.
0	13	0	13	The 21st century has also seen vast improvements in the general livability of Paris, with the mayor's office concentrating on reducing pollution and improving facilities for soft forms of transportation including a huge network of cycle paths, larger pedestrian districts and new metro lines.
0	13	0	13	Visitors who normally arrive car-less are the beneficiaries of these policies as much as the Parisians themselves, although tensions and doubts have emerged over the actual benefits of those measures.
0	13	0	13	Paris has an oceanic climate with moderately cold winters and warm summers.
0	13	0	13	The moderating effect of the Atlantic Ocean helps to temper temperature extremes in much of western Europe, including France.
0	13	0	13	Even in January, the coldest month, temperatures nearly always exceed the freezing point with an average high of 7 °C (45 °F).
0	13	0	13	Snow is not common in Paris, although it can fall a few times per year.
0	13	0	13	Most of Paris' precipitation comes in the form of light rain year-round.
0	13	0	13	Daylight hours run from 08:45 until 16:45.
0	13	0	13	Summers in Paris are moderately warm and humid, with an average high of 25 °C (77 °F) during the mid-summer months.
1	13	1	13	Occasional heat waves can push temperatures above 30 °C (86 °F) and rarely even reach 35 °C (95 °F).
0	14	0	14	The sun is up from 06:00 until almost 22:00.
0	14	0	14	Spring and fall are normally cool and wet.
0	14	0	14	Paris (PAR IATA) is served by two international airports.
0	14	0	14	49.00982.56121 Paris Charles de Gaulle Airport (CDG IATA) is the main airport of the city.
1	14	1	14	It is north of Paris and is connected by train, bus and taxi.
0	15	0	15	For detailed information on arriving and departing Paris from this airport please consult the main article linked above.
0	15	0	15	"Transit Summary: The RER train line ""B"" connects CDG airport to central Paris and is the fastest and most economical option for most travellers."
0	15	0	15	Signs in the airport will direct you to the platform.
0	15	0	15	Self-serve electronic kiosks sell tickets.
0	15	0	15	The kiosks provide service in multiple languages, including English.
0	15	0	15	Some trains will stop at each station along the way to Paris.
0	15	0	15	Express trains with fewer stops are available during off-peak hours.
0	15	0	15	The stations Gare du Nord, Châtelet-Les Halles, Saint-Michel Notre-Dame, Luxembourg, Port-Royal, Denfert-Rochereau and Cité Universitaire are always served.
1	15	1	15	Your ticket will allow you to transfer at one of the aforementioned stations to the Metro and other RER lines within Paris to complete your journey.
0	16	0	16	The one-way trip costs €10.30 for adults, €7.20 for children aged 4–9, and free for children under 4.
1	16	1	16	Another option is the RoissyBus coach service that departs from all terminals and travels non-stop to Opéra (actually stops at 11 rue scribe, next to Place Charles Garnier, and not on Place de l'Opéra itself) in Central Paris, within easy walking distance of several stations: Opéra for Métro Lines 3, 7, 8; Auber for RER Line A; Chaussée d'Antin or Havre-Caumartin for Métro Line 9.
0	17	0	17	It offers great value if you're travelling with lots of luggage; as of December 2023, a one-way ticket is €16.20.
1	17	1	17	The buses are frequent, departing every 15 min during the day and every 20-30 min in the evening.
0	18	0	18	Journey time is typically 60 minutes, but can take longer in heavy traffic.
0	18	0	18	If you arrive to CDG Airport at night you'll need a Noctilien bus to get to the city centre.
0	18	0	18	The bus stops at all three terminals (in terminal 2F it will be the second level in the departure section, difficult to find, but it really exists).
0	18	0	18	The bus leaves every 30 min after 00:30 (see timetable).
0	18	0	18	The buses you'll need are N140 and N143; the price is 2 T+ tickets (€4 if bought on board).
0	18	0	18	48.72942.36822 Paris Orly Airport (ORY IATA), this older international airport is southwest of the city and is used mainly by Air France for domestic departures, and for several international departures, mostly towards destinations around the Mediterranean.
0	18	0	18	It consists of two terminals: Terminal Sud (south) and Terminal Ouest (west) connected by light rail.
0	18	0	18	The airport is connected with Paris by bus and light rail.
0	18	0	18	For detailed information on arriving and departing Paris from this airport please consult the main article linked above.
0	18	0	18	"Orly is roughly 25-35 min from Paris via the OrlyBus, which departs from Métro Denfert-Rochereau (lines 4 and 6 of the Metro and RER line ""B""); the price is €11.20 as of December 2023."
0	18	0	18	There are buses every 8-15 minutes from the Orly Sud (Platform 4) and it stops at Orly Ouest on its way to the city.
1	18	1	18	Tickets can be bought at a counter near the baggage claim area or directly at the counter in Platform 4.
0	19	0	19	The tickets need to be validated once on the bus.
0	19	0	19	Another option is tramway T7 that takes you to the Métro Villejuif - Louis Aragon (Metro 7) in 30 min, but it stops on the way and is designed for commuters and not for travellers.
0	19	0	19	Tramway T7 costs a single T+ (metro/bus/tram) ticket and runs every 10 min, stopping at airport level -1.
0	19	0	19	Passes covering zones 1–4 are accepted, except that Tickets Jeunes are not valid on Orlybus.
0	19	0	19	Via rail the airport can be reached by a southern branch of the RER-B line that heads from Paris in the direction of Massy-Palaiseau or Saint-Rémy-les-Chevreuse (not Robinson).
0	19	0	19	At Antony station RER-B line connects with the Orlyval light rail that carries passengers to both terminals of the airport.
1	19	1	19	Orlyval runs every 4-7 min and costs €12.05 (as of 2019) for transfer to Paris, including connections to central area metro stations.
0	20	0	20	The RER B from Antony runs through Paris to CDG.
0	20	0	20	Public transport passes are not accepted on Orlyval (but Paris Visite is valid on Orlyval, and zone 1–3 passes are valid between Antony and Paris).
1	20	1	20	The Orly connection map shows you how you can go to Paris from the airport.
0	21	0	21	Wi-Fi Internet access is provided free of charge.
0	21	0	21	49.45942.11393 Beauvais (BVA IATA), north of the city, is a smaller regional airport that is used by some low-cost carriers such as Ryanair and WizzAir.
0	21	0	21	The airport operates a shuttle service to the Métro at Porte Maillot station.
0	21	0	21	Buses run as early as 06:00.
0	21	0	21	Buses leave 20 min after each flight arrives, and a few hours before each flight departs.
0	21	0	21	A schedule can be found on the Beauvais Airport website.
0	21	0	21	The journey will take about an hour in good traffic conditions, and costs €16.9 each way (Online) or €18 each way (Physically); there is no reduced price for children over the age of 2 years.
0	21	0	21	Unless you hire a car this is the most realistic way to head toward Paris.
0	21	0	21	The alternative is a train service between Gare du Nord and Beauvais, and a connecting shuttle or taxi to the airport.
0	21	0	21	This journey costs more and takes longer.
0	21	0	21	Missing the shuttle bus could mean a taxi fare well over €100.
0	21	0	21	Air France operates shuttles between Charles de Gaulle and Paris (€17), Orly and Paris (€12) and between the two airports (€20).
0	21	0	21	Discounts apply for young/group travellers and online bookers.
0	21	0	21	If you have connecting Air France flights that land and depart from different airports, you would still generally need to fetch your luggage after landing, catch either the Air France shuttle or a taxi (readily available at all airports) to the other airport and check-in again.
0	21	0	21	This altogether could take up to 2 hours, particularly if traffic is at its worst.
0	21	0	21	It is also common to lose time during disembarking, as passengers often need to get off on the tarmac and get on buses which will take them to the terminal.
1	21	1	21	Be sure you have sufficient time between flights to catch your connection.
0	22	0	22	Check-in counters usually close 30 min before the flight departs, longer if flights are international.
1	22	1	22	Paris Le Bourget Airport (LBG IATA) is a 24-hour airport for private jets and business aviation 11 km northeast of Paris.
0	23	0	23	Companies like Air Charter Advisors and Priority Jet offer access to a variety of aircraft rentals based at Le Bourget.
0	23	0	23	Paris is well connected to the rest of Europe by train.
1	23	1	23	There are seven terminus stations in central Paris and although they are not all in the same district, they are all connected to the Metro and RER networks.
0	24	0	24	You will probably want to know in advance at which station your train is arriving, so as to better choose a hotel and plan for transport within the city.
0	24	0	24	The SNCF (French national railway authority) operates practically all trains within France excluding the Eurostar to London, the Thalys to Brussels and onward to the Netherlands and Germany[dead link], and some low-cost services such as Ouigo (although owned by the SNCF, it is considered as a separate brand).
0	24	0	24	There are also a few local lines of high interest to tourists which are privately owned.
0	24	0	24	All SNCF, Eurostar and Thalys tickets can be bought in railway stations, city offices and travel agencies (no surcharge).
0	24	0	24	SNCF relies on travel agencies for selling tickets online, the main one being SNCF Connect and Trainline (easier to use).
0	24	0	24	You can also find tickets in online and physical travel agencies.
0	24	0	24	You can book and buy tickets up to three months in advance.
0	24	0	24	There are significant discounts if you book weeks ahead.
0	24	0	24	Reduced ticket prices are different for each day and each train and can be used only on the train the reservation is for.
1	24	1	24	Trains between Paris and south Germany (Frankfurt, Stuttgart, Munich) as well as the Marseille-Frankfurt TGV are jointly operated by SNCF and Deutsche Bahn, but each of the two operators will sell tickets at its own price!
0	25	0	25	Make sure to check the price offered by each operator before you buy, or use Trainline since they automatically compare SNCF and DB prices.
0	25	0	25	There are a number of different kinds of high-speed and normal trains:
0	25	0	25	For most train stations, take the 14 to Gare de Lyon and follow the directions given from Gare de Lyon.
0	25	0	25	While domestic bus lines were tightly regulated until 2015, the similar experience in Germany, where Intercity buses were deregulated in 2013, have lead to a heavily competitive and fast growing market.
0	25	0	25	Companies that serve Paris are:
0	25	0	25	Several autoroutes (expressway, motorway) link Paris with the rest of France: and to the north, and to the south, to the east and and to the west.
