boundary-coarse	segment-coarse	boundary-fine	segment-fine	sentence
0	1	0	1	Tokyo (東京 Tōkyō) is the enormous and wealthy capital of Japan, and also its main city, overflowing with culture, commerce, and most of all, people.
0	1	0	1	As the most populated urban area in the world, Tokyo is a fascinating and dynamic metropolis that mixes foreign influences, consumer culture and global business along with remnants of the capital of old Japan.
0	1	0	1	From modern electronics and gleaming skyscrapers to cherry blossoms and the Imperial Palace, this city represents the entire sweep of Japanese history and culture.
1	1	1	1	Tokyo truly has something for every traveller.
0	2	0	2	The capital of Japan is not a city, but is actually Tokyo Metropolis (東京都 Tōkyō-to), which apart from the name is indistinguishable from a prefecture: it's equal in status with the other 46 prefectures, and is about as big (containing large suburban and even rural areas to the west, as well as islands as far as 1,000 km (620 mi) south).
0	2	0	2	"Even more strangely, there is no such thing as the ""city of Tokyo""."
0	2	0	2	"What most people, both foreigners and Japanese, are thinking of when they hear ""Tokyo"" is the special wards of Tokyo (特別区 tokubetsu-ku), sometimes just called the 23 wards (23区 nijūsan-ku)."
0	2	0	2	"They're somewhat like the boroughs of London or New York, except there's no ""city government"" banding them together."
0	2	0	2	"The wards refer to themselves as ""cities"" in English (since they behave as such, each having its own mayor and council), but to avoid confusion, most people prefer to call them ""wards""."
1	2	1	2	This article is about the 23 special wards, while the western suburbs and the islands are covered in Tokyo Metropolis.
0	3	0	3	The geography of central Tokyo is defined by the JR Yamanote Line (see Get around).
0	3	0	3	The center of Tokyo — the former area reserved for the Shogun and his samurai — lies within the loop, while the Edo-era oldtown (下町 shitamachi) is to the north and east.
0	3	0	3	Sprawling around in all directions and blending in seamlessly are Yokohama, Kawasaki and Chiba, Tokyo's suburbs.
1	3	1	3	Together, the entire metropolitan area has a population of over 40 million, making it the most populated urban area in the world.
0	4	0	4	Over 500 years old, the city of Tokyo was once the modest fishing village of Edo (江戸 - literally Gate of the River) due to its location at the mouth of Sumida-gawa.
0	4	0	4	The city only truly began to grow when it became the seat of the Tokugawa shogunate in 1603, who decided to set up a new seat of power far away from the intrigues of the imperial court in Kyoto.
0	4	0	4	"After the Meiji restoration in 1868, during which the Tokugawa family lost its influence, the emperor and the imperial family moved here from Kyoto, and the city was renamed to its current name, Tokyo, literally the ""Eastern Capital""."
0	4	0	4	The metropolitan center of the country, Tokyo is the destination for business, education, modern culture, and government.
1	4	1	4	(That's not to say that rivals such as Osaka won't dispute those claims.)
0	5	0	5	GO>TOKYO is a government-run sightseeing guide site for foreigners, including a search page for restaurants with multi-language menus.
1	5	1	5	Well-maintained and often more up-to-date than us.
0	6	0	6	Tokyo is vast: it's best thought of not as a single city, but a constellation of cities that have grown together.
0	6	0	6	Tokyo's districts vary wildly by character, from the electronic blare of Akihabara to the Imperial gardens and shrines of Chiyoda, from the hyperactive youth culture hub of Shibuya to the pottery shops and temple markets of Asakusa.
1	6	1	6	If you don't like what you see, hop on the train and head to the next station, and you will find something entirely different.
0	7	0	7	The sheer size and frenetic pace of Tokyo can intimidate the first-time visitor.
0	7	0	7	Much of the city is a jungle of concrete and wires, with a mass of neon and blaring loudspeakers.
0	7	0	7	At rush hour, crowds jostle in packed trains and masses of humanity sweep through enormous and bewilderingly complex stations.
0	7	0	7	Don't get too hung up on ticking tourist sights off your list: for most visitors, the biggest part of the Tokyo experience is just wandering around at random and absorbing the vibe, poking your head into shops selling weird and wonderful things, sampling restaurants where you can't recognize a single thing on the menu (or on your plate), and finding unexpected oases of calm in the tranquil grounds of a neighbourhood Shinto shrine.
1	7	1	7	It's all perfectly safe, and the locals will go to sometimes extraordinary lengths to help you if you just ask.
0	8	0	8	The cost of living in Tokyo is not as astronomical as it once was.
0	8	0	8	Deflation and market pressures have helped to make costs in Tokyo comparable to most other large cities in the developed world.
0	8	0	8	Visitors from San Francisco, Los Angeles, New York, Chicago, London, Paris, Sydney, Toronto and Dublin will not find it any more expensive than back home.
0	8	0	8	Rent will be significantly cheaper than big Western cities like NYC, London, San Francisco, and Los Angeles.
0	8	0	8	Travelers should budget a similar amount of money for their stay in Tokyo as they would for any other great city in Europe, North America or Australia.
0	8	0	8	Locals will know the bargains, but experienced cheapskates from anywhere in the world can get by with a little ingenuity.
0	8	0	8	Tokyo is one of the most popular places to live in Japan.
0	8	0	8	Rent for a single's apartment could range from US$500 to US$1,000 a month.
0	8	0	8	Tokyo is so overwhelmingly crowded that many people live in apartments no bigger than 16 square meters (175 square feet).
0	8	0	8	That being said, with excellent transportation throughout Tokyo and its outskirts, living five minutes further away from central Tokyo could mean hundreds of dollars less for living expenses each month or allow for larger housing.
0	8	0	8	"Many parts of Chiba, Saitama, Kanagawa, or even Ibaraki prefectures may allow the feeling of ""living in Tokyo""."
1	8	1	8	Still, nothing compares to Tokyo itself in regards to waking up and stepping outside instantly into metropolitan life.
1	9	1	9	Tokyo is classified as lying in the humid subtropical climate zone and has five distinct seasons.
0	10	0	10	It's possible for English speakers to navigate their way around Tokyo without speaking any Japanese.
0	10	0	10	Signs at subway and train stations include the station names in romaji (Romanized characters), and larger stations often have signs in Chinese and Korean as well.
0	10	0	10	Though most people under the age of 40 have learned English in school, proficiency is generally poor, and most locals would not know more than a few basic words and phrases.
0	10	0	10	Some restaurants may have English menus, but it does not necessarily mean that the staff will speak much English.
0	10	0	10	Reading and writing comes much better though; many people can understand a great deal of written English but can't speak it properly, because English uses so many vowels and consonants non-existent in Japanese.
0	10	0	10	That being said, staff at the main hotels and tourist attractions generally speak an acceptable level of English.
1	10	1	10	While it is possible to get by with only English, it will nevertheless make your trip much smoother if you can learn some basic Japanese.
0	11	0	11	In Japan, all roads, rails, shipping lanes and planes lead to Tokyo.
0	11	0	11	Tokyo (TYO IATA for all airports) and the Kanto Region are served by two major airports.
0	11	0	11	Narita International Airport (NRT IATA) is Tokyo's main hub for international flights, but also serves a handful of domestic flights, particularly on low-cost carriers, and is convenient as a transit airport for those travelling between North America, Europe and the Middle East to most major Asian cities.
0	11	0	11	Tokyo Haneda Airport (HND IATA), which is much closer to central Tokyo and thus much more convenient and economical for getting into Tokyo and vicinity, is expanding and shifting from mostly domestic flights to international, and by mid-2020 will serve a number of large cities that see heavy business traffic.
